주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,464,252,155,15,30
영업이익,20,-75,-160,-1,-50
영업이익(발표기준),20,-75,-160,-1,-50
세전계속사업이익,16,-152,-331,-31,6
당기순이익,25,-130,-331,-31,6
  당기순이익(지배),25,-126,-339,-31,6
  당기순이익(비지배),0,-4,-4,,
자산총계,356,772,726,919,43
부채총계,52,440,359,206,28
자본총계,304,332,367,713,16
  자본총계(지배),304,339,367,713,16
  자본총계(비지배),,-7,,,
자본금,218,242,496,879,84
영업활동현금흐름,-107,-273,-84,-255,-56
투자활동현금흐름,112,-79,-279,100,0
재무활동현금흐름,79,425,215,150,80
CAPEX,1,25,0,,
FCF,-108,-298,-84,-255,-56
이자발생부채,28,395,265,65,1
영업이익률,4.26,-29.66,-103.36,-9.32,-162.71
순이익률,5.28,-51.50,-213.46,-207.32,20.69
ROE(%),13.42,-39.00,-96.01,-5.80,-8.79
ROA(%),7.61,-22.96,-44.25,-3.81,26.57
부채비율,17.03,132.52,97.83,28.93,175.41
자본유보율,39.77,40.26,-25.94,-18.95,-81.22
EPS(원),"15,974","-55,781","-107,858","-3,816",338
PER(배),1.14,N/A,N/A,N/A,3.95
BPS(원),"140,163","140,674","74,273","81,942",94
PBR(배),0.13,0.21,0.08,0.02,14.22
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"217,175","241,322","494,101","869,706","16,801,878"
