주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,213","1,142","1,104","1,337","1,945"
영업이익,34,-53,72,101,138
영업이익(발표기준),34,-53,72,101,138
세전계속사업이익,13,-50,83,90,163
당기순이익,0,-60,76,87,152
  당기순이익(지배),0,-60,76,87,152
  당기순이익(비지배),,,,,
자산총계,"1,461","1,353","1,286","1,431","1,439"
부채총계,514,488,346,413,287
자본총계,947,865,940,"1,018","1,152"
  자본총계(지배),947,865,940,"1,018","1,152"
  자본총계(비지배),,,,,
자본금,80,80,80,80,80
영업활동현금흐름,37,-55,193,41,196
투자활동현금흐름,-156,-12,-38,194,-175
재무활동현금흐름,277,-26,-90,-67,-224
CAPEX,165,37,27,35,34
FCF,-128,-92,167,6,162
이자발생부채,332,331,266,212,25
영업이익률,1.52,-4.65,6.51,7.55,7.08
순이익률,-0.01,-5.29,6.87,6.54,7.81
ROE(%),-0.03,-6.67,8.40,8.93,13.99
ROA(%),-0.02,-4.29,5.75,6.44,10.58
부채비율,54.29,56.45,36.81,40.56,24.90
자본유보율,"1,117.81","1,026.22","1,101.56","1,215.84","1,378.56"
EPS(원),-2,-376,472,544,945
PER(배),N/A,N/A,6.49,5.33,5.43
BPS(원),"6,195","5,660","6,151","6,664","7,532"
PBR(배),0.89,0.42,0.50,0.44,0.68
현금DPS(원),120,100,130,150,180
현금배당수익률,2.17,4.19,4.25,5.17,3.51
현금배당성향(%),"-5,799.08",-25.29,26.20,26.21,18.13
발행주식수(보통주),"16,071,290","16,071,290","16,071,290","16,071,290","16,071,290"
