주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,272,267,231,167,222
영업이익,-5,12,18,-64,-95
영업이익(발표기준),-5,12,18,-64,-95
세전계속사업이익,-5,22,9,-189,-320
당기순이익,-5,22,9,-189,-320
  당기순이익(지배),-5,22,9,-189,-320
  당기순이익(비지배),,,,,
자산총계,514,529,931,858,696
부채총계,120,97,112,231,88
자본총계,395,431,819,627,608
  자본총계(지배),395,431,819,627,608
  자본총계(비지배),,,,,
자본금,264,265,306,306,313
영업활동현금흐름,35,37,4,-54,-102
투자활동현금흐름,8,16,-307,155,48
재무활동현금흐름,16,4,366,103,-37
CAPEX,6,4,4,27,4
FCF,28,33,-1,-81,-105
이자발생부채,42,41,56,143,25
영업이익률,-1.93,4.59,7.63,-38.34,-42.77
순이익률,-1.69,8.37,3.91,-112.86,-144.26
ROE(%),-1.29,5.41,1.44,-26.10,-51.86
ROA(%),-0.90,4.29,1.24,-21.10,-41.22
부채비율,30.29,22.60,13.70,36.80,14.47
자본유보율,35.03,46.40,153.75,90.68,76.63
EPS(원),-8,39,16,-308,-519
PER(배),N/A,288.41,424.29,N/A,N/A
BPS(원),698,760,"1,338","1,024",972
PBR(배),31.51,14.96,4.92,10.01,18.32
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"56,534,597","56,774,293","61,190,399","61,190,399","62,627,156"
