주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,192,191,189,243,264,328,411
영업이익,11,3,8,30,33,58,87
영업이익(발표기준),11,3,8,30,33,,
세전계속사업이익,9,7,-1,24,29,57,85
당기순이익,8,6,1,20,25,48,71
  당기순이익(지배),8,6,1,20,25,49,73
  당기순이익(비지배),,,,0,0,,
자산총계,421,353,360,376,502,438,505
부채총계,303,229,260,260,230,245,241
자본총계,118,123,99,117,273,193,264
  자본총계(지배),118,123,99,116,273,194,266
  자본총계(비지배),,,,0,,,
자본금,2,2,2,2,3,2,2
영업활동현금흐름,0,4,17,38,21,61,83
투자활동현금흐름,-109,63,-3,-13,-105,-41,-21
재무활동현금흐름,117,-75,-1,-12,91,-12,-15
CAPEX,133,4,4,18,7,40,20
FCF,-134,-1,12,20,15,23,65
이자발생부채,285,210,225,208,192,,
영업이익률,5.59,1.64,4.13,12.26,12.30,17.68,21.17
순이익률,4.22,3.33,0.45,8.06,9.50,14.63,17.27
ROE(%),7.07,5.27,,18.48,13.01,21.00,31.74
ROA(%),2.21,1.64,,5.32,5.72,10.21,15.06
부채비율,255.97,186.09,261.83,222.19,84.19,126.94,91.29
자본유보율,"5,554.60","5,775.63","4,944.86","5,760.83","8,884.41",,
EPS(원),368,289,39,945,"1,107","1,569","2,331"
PER(배),,,,,19.65,10.96,7.38
BPS(원),"5,382","5,603","4,522","5,541","9,195","6,388","8,758"
PBR(배),0.00,0.00,0.00,0.00,2.37,2.69,1.96
현금DPS(원),0,68,0,19,,19,19
현금배당수익률,,,,,,0.11,0.11
현금배당성향(%),,,,2.02,,1.21,0.82
발행주식수(보통주),"2,000,000","2,000,000","2,000,000","2,000,000","3,061,578",,
