주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,349,475,811,765,"1,006","1,364","1,647","1,944"
영업이익,108,175,417,406,517,678,849,"1,006"
영업이익(발표기준),108,175,417,406,517,,,
세전계속사업이익,-31,178,417,393,556,674,843,979
당기순이익,-51,149,334,382,438,534,670,800
  당기순이익(지배),-51,149,334,382,438,534,670,796
  당기순이익(비지배),,,,,,,,
자산총계,632,757,"1,137","1,375","2,164","2,899","3,532","4,363"
부채총계,281,246,257,138,526,770,781,879
자본총계,351,510,879,"1,238","1,637","2,129","2,751","3,484"
  자본총계(지배),351,510,879,"1,238","1,637","2,150","2,773","3,484"
  자본총계(비지배),,,,,,,,
자본금,60,62,64,65,65,62,62,63
영업활동현금흐름,86,160,390,381,364,483,690,821
투자활동현금흐름,-206,-203,-127,67,-925,-326,-50,-64
재무활동현금흐름,194,-44,-25,-122,307,42,-82,-50
CAPEX,317,148,62,8,326,240,40,58
FCF,-231,12,328,373,37,289,643,756
이자발생부채,209,154,99,4,358,,,
영업이익률,30.98,36.81,51.41,53.11,51.41,49.73,51.53,51.78
순이익률,-14.71,31.30,41.16,49.91,43.55,39.17,40.67,41.14
ROE(%),,34.51,48.06,36.06,30.47,28.22,27.22,25.45
ROA(%),,21.41,35.27,30.39,24.75,21.11,20.83,20.26
부채비율,79.99,48.26,29.28,11.13,32.14,36.17,28.39,25.23
자본유보율,478.73,720.58,"1,265.99","1,812.87","2,429.74",,,
EPS(원),-85,242,534,590,677,825,"1,034","1,229"
PER(배),N/A,16.85,26.49,26.11,27.77,21.45,17.11,14.40
BPS(원),580,824,"1,366","1,913","2,530","3,319","4,281","5,378"
PBR(배),7.18,4.96,10.36,8.05,7.43,5.33,4.13,3.29
현금DPS(원),8,14,46,60,66,72,80,89
현금배당수익률,0.19,0.34,0.33,0.39,0.35,0.41,0.45,0.50
현금배당성향(%),-9.43,5.84,8.87,10.17,9.75,8.75,7.70,7.24
발행주식수(보통주),"60,473,077","61,973,077","64,364,380","64,709,168","64,716,864",,,
