주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,203,315,380,470,473,677,786,926
영업이익,33,19,22,21,23,35,45,57
영업이익(발표기준),33,19,22,21,23,,,
세전계속사업이익,32,18,16,16,19,31,41,53
당기순이익,28,15,15,16,49,24,32,42
  당기순이익(지배),28,15,15,16,49,24,32,42
  당기순이익(비지배),,,,,0,,,
자산총계,178,564,697,"1,148","1,188","1,280","1,412","1,555"
부채총계,118,263,377,503,485,560,666,774
자본총계,60,301,320,645,703,720,746,781
  자본총계(지배),60,301,320,645,701,718,745,780
  자본총계(비지배),,,,,2,,,
자본금,10,29,29,33,34,34,34,34
영업활동현금흐름,-13,19,-197,44,-98,24,6,52
투자활동현금흐름,-3,-134,40,-160,-231,51,35,28
재무활동현금흐름,22,225,145,332,52,13,13,13
CAPEX,2,1,39,26,32,20,25,30
FCF,-15,18,-237,18,-130,10,-15,25
이자발생부채,39,43,194,210,250,,,
영업이익률,16.16,6.18,5.74,4.53,4.77,5.17,5.73,6.16
순이익률,13.74,4.72,3.92,3.36,10.27,3.55,4.07,4.54
ROE(%),59.97,8.22,4.79,,7.25,3.38,4.38,5.51
ROA(%),19.65,4.00,2.36,,4.16,1.94,2.38,2.83
부채비율,195.24,87.23,117.99,77.98,69.06,77.78,89.28,99.10
자본유보율,488.07,929.51,971.69,"1,815.66","1,935.63",,,
EPS(원),660,307,252,267,715,349,466,611
PER(배),,97.42,66.73,139.54,39.04,76.48,57.36,43.70
BPS(원),"1,431","5,322","5,645","9,859","10,202","10,445","10,837","11,347"
PBR(배),0.00,5.62,2.98,3.78,2.73,2.56,2.46,2.35
현금DPS(원),0,49,49,100,100,100,100,100
현금배당수익률,,0.16,0.29,0.27,0.36,0.37,0.37,0.37
현금배당성향(%),0.00,18.51,18.51,41.43,14.08,28.64,21.48,16.37
발행주식수(보통주),"4,225,384","5,902,709","5,902,709","6,544,316","6,874,316",,,
