주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"2,037","2,963","6,829","3,385","2,052","2,770","3,740","5,050"
영업이익,-30,-262,"1,378",327,-279,-80,80,100
영업이익(발표기준),-30,-262,"1,378",327,-279,,,
세전계속사업이익,-76,-298,"1,305",242,-48,220,460,610
당기순이익,-87,-313,"1,037",266,-37,170,360,470
  당기순이익(지배),-87,-313,"1,037",266,-37,170,360,470
  당기순이익(비지배),,,,,,,,
자산총계,"2,134","2,735","4,270","3,911","3,664","4,210","5,270","6,730"
부채총계,"1,620","1,873","2,093","1,451","1,159","1,450","2,070","2,980"
자본총계,513,862,"2,178","2,460","2,505","2,760","3,200","3,760"
  자본총계(지배),513,862,"2,178","2,460","2,505","2,760","3,200","3,760"
  자본총계(비지배),,,,,,,,
자본금,80,94,199,199,199,200,200,200
영업활동현금흐름,-79,-374,-36,"1,201",476,-190,430,640
투자활동현금흐름,-5,-219,-178,-175,-96,-60,-70,-110
재무활동현금흐름,72,901,175,-203,-165,120,130,130
CAPEX,59,209,180,234,95,150,140,140
FCF,-137,-583,-215,967,381,-560,-20,100
이자발생부채,741,860,989,749,602,,,
영업이익률,-1.50,-8.85,20.18,9.65,-13.59,-2.89,2.14,1.98
순이익률,-4.26,-10.56,15.19,7.87,-1.82,6.14,9.63,9.31
ROE(%),-17.94,-45.51,68.25,11.49,-1.50,6.46,12.08,13.51
ROA(%),-4.12,-12.86,29.62,6.51,-0.99,4.32,7.60,7.83
부채비율,315.86,217.21,96.10,58.99,46.27,52.54,64.69,79.26
자본유보율,605.36,805.32,976.96,"1,108.97","1,092.71",,,
EPS(원),-259,-927,"2,679",669,-94,427,904,"1,180"
PER(배),N/A,N/A,19.07,120.64,N/A,76.83,36.28,27.79
BPS(원),"1,570","2,298","5,469","6,177","6,291","6,931","8,036","9,442"
PBR(배),8.10,4.80,9.34,13.06,6.54,4.73,4.08,3.47
현금DPS(원),0,0,,,,0,0,0
현금배당수익률,0.00,0.00,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"33,546,790","37,620,000","39,820,883","39,820,883","39,820,883",,,
