주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,857","4,518","7,290","6,257","7,635","11,804","13,754","15,631"
영업이익,55,13,363,150,342,910,"1,136","1,317"
영업이익(발표기준),55,13,363,150,342,,,
세전계속사업이익,-10,-110,247,-132,348,873,"1,068","1,302"
당기순이익,-15,-109,121,-160,339,696,851,"1,040"
  당기순이익(지배),-15,-109,121,-160,339,696,851,"1,040"
  당기순이익(비지배),,,,,,,,
자산총계,"4,250","4,189","4,205","3,953","5,293","6,669","7,832","9,168"
부채총계,"2,716","2,779","2,559","2,492","3,137","3,834","4,157","4,424"
자본총계,"1,534","1,410","1,645","1,461","2,156","2,836","3,675","4,744"
  자본총계(지배),"1,534","1,410","1,645","1,461","2,156","2,836","3,675","4,744"
  자본총계(비지배),,,,,,,,
자본금,102,102,110,120,146,146,146,146
영업활동현금흐름,1,-4,471,514,106,450,890,"1,058"
투자활동현금흐름,-314,-101,-196,-230,-372,-376,-440,-750
재무활동현금흐름,112,0,-147,-142,349,-58,-60,-75
CAPEX,272,582,211,287,427,473,652,662
FCF,-271,-586,260,227,-320,200,568,389
이자발생부채,"1,746","1,755","1,669","1,529","1,586",,,
영업이익률,0.94,0.28,4.98,2.39,4.48,7.71,8.26,8.43
순이익률,-0.25,-2.41,1.66,-2.56,4.44,5.90,6.19,6.65
ROE(%),-0.92,-7.39,7.92,-10.30,18.76,27.89,26.14,24.71
ROA(%),-0.34,-2.58,2.88,-3.92,7.34,11.64,11.74,12.23
부채비율,177.02,197.14,155.55,170.63,145.50,135.20,113.12,93.25
자본유보율,"1,534.41","1,402.82","1,513.78","1,268.53","1,474.60",,,
EPS(원),-71,-531,571,-698,"1,284","2,391","2,923","3,573"
PER(배),N/A,N/A,9.71,N/A,9.66,9.18,7.51,6.14
BPS(원),"7,492","6,884","7,484","6,208","7,521","9,890","12,817","16,546"
PBR(배),0.60,0.50,0.74,1.45,1.65,2.22,1.71,1.33
현금DPS(원),0,0,100,50,100,125,175,300
현금배당수익률,0.00,0.00,1.81,0.56,0.81,0.57,0.80,1.37
현금배당성향(%),0.00,0.00,18.17,-7.35,9.57,4.54,5.20,7.30
발행주식수(보통주),"20,478,206","20,478,206","21,985,432","24,037,769","25,291,210",,,
