주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,542,643,555,601,605
영업이익,-18,21,-13,8,20
영업이익(발표기준),-18,21,-13,8,20
세전계속사업이익,-28,44,-7,-64,41
당기순이익,-20,42,-7,-80,35
  당기순이익(지배),-20,42,-7,-80,35
  당기순이익(비지배),,,,,
자산총계,953,976,982,898,926
부채총계,105,92,114,106,106
자본총계,849,884,868,792,820
  자본총계(지배),849,884,868,792,820
  자본총계(비지배),,,,,
자본금,68,68,68,68,68
영업활동현금흐름,67,58,79,39,54
투자활동현금흐름,-114,-52,-92,-20,54
재무활동현금흐름,12,-22,-8,0,-5
CAPEX,51,64,27,39,28
FCF,16,-6,52,0,25
이자발생부채,19,0,0,0,0
영업이익률,-3.38,3.33,-2.28,1.25,3.35
순이익률,-3.71,6.57,-1.20,-13.24,5.82
ROE(%),-2.34,4.88,-0.76,,4.37
ROA(%),-2.10,4.38,-0.68,,3.86
부채비율,12.33,10.44,13.17,13.45,12.98
자본유보율,"1,179.12","1,229.89","1,205.53","1,094.01","1,136.54"
EPS(원),-149,313,-49,-589,261
PER(배),N/A,11.79,N/A,N/A,15.53
BPS(원),"6,421","6,688","6,566","5,991","6,204"
PBR(배),0.63,0.55,0.48,0.84,0.65
현금DPS(원),25,60,0,50,100
현금배당수익률,0.62,1.63,0.00,0.99,2.47
현금배당성향(%),-16.44,18.78,0.00,-8.30,37.53
발행주식수(보통주),"13,500,000","13,500,000","13,500,000","13,500,000","13,500,000"
