주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,359,384,384,718,428
영업이익,51,58,33,54,43
영업이익(발표기준),51,58,33,54,43
세전계속사업이익,57,44,59,48,257
당기순이익,100,295,41,43,254
  당기순이익(지배),91,287,37,36,254
  당기순이익(비지배),9,8,4,7,
자산총계,"1,290","1,557","1,350","1,750","2,373"
부채총계,203,502,323,472,790
자본총계,"1,087","1,055","1,026","1,278","1,584"
  자본총계(지배),785,"1,063","1,032","1,238","1,584"
  자본총계(비지배),302,,-5,39,
자본금,126,126,128,128,151
영업활동현금흐름,54,47,-69,94,56
투자활동현금흐름,-31,-438,85,53,775
재무활동현금흐름,-5,257,-96,-30,-75
CAPEX,4,3,4,26,26
FCF,50,44,-72,69,30
이자발생부채,27,266,192,158,461
영업이익률,14.21,14.99,8.54,7.57,10.05
순이익률,27.75,76.90,10.64,6.02,59.21
ROE(%),13.14,31.09,3.55,3.17,18.93
ROA(%),8.74,20.75,2.81,2.79,13.15
부채비율,18.68,47.55,31.52,36.91,49.87
자본유보율,522.60,748.63,754.94,780.32,882.15
EPS(원),360,"1,138",146,141,954
PER(배),8.76,2.06,13.46,14.38,3.48
BPS(원),"3,111","4,211","4,044","4,855","5,242"
PBR(배),1.01,0.56,0.49,0.42,0.63
현금DPS(원),0,80,0,0,
현금배당수익률,0.00,3.40,0.00,0.00,
현금배당성향(%),0.00,7.03,0.00,0.00,
발행주식수(보통주),"25,244,030","25,244,030","25,508,734","25,508,734","30,206,408"
