주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"2,540","1,889","1,442","1,165","2,099","3,220"
영업이익,456,437,114,-127,37,380
영업이익(발표기준),456,437,114,-127,37,
세전계속사업이익,504,493,175,12,337,
당기순이익,351,395,137,7,303,330
  당기순이익(지배),351,395,137,7,303,
  당기순이익(비지배),,,,,,
자산총계,"3,756","3,736","3,964","3,959","5,484",
부채총계,533,433,541,564,"1,580",
자본총계,"3,222","3,303","3,423","3,396","3,904",
  자본총계(지배),"3,222","3,303","3,423","3,396","3,904",
  자본총계(비지배),,,,,,
자본금,74,74,74,74,74,
영업활동현금흐름,628,724,421,246,-24,
투자활동현금흐름,-562,-575,-394,282,-60,
재무활동현금흐름,-10,-321,-61,-80,-202,
CAPEX,518,147,280,407,138,
FCF,109,577,142,-161,-162,
이자발생부채,0,0,28,8,183,
영업이익률,17.96,23.16,7.88,-10.86,1.77,11.80
순이익률,13.83,20.93,9.50,0.61,14.42,10.25
ROE(%),11.49,12.12,4.07,0.21,,
ROA(%),9.68,10.55,3.56,0.18,,
부채비율,16.55,13.12,15.80,16.60,40.46,
자본유보율,"4,284.46","4,802.90","4,966.41","4,970.07","5,412.51",
EPS(원),"2,389","2,690",932,48,"2,060",
PER(배),5.04,4.28,8.97,179.61,6.72,
BPS(원),"21,921","26,801","27,776","28,496","29,100",
PBR(배),0.55,0.43,0.30,0.30,0.48,
현금DPS(원),100,100,100,0,100,
현금배당수익률,0.83,0.87,1.20,0.00,0.72,
현금배당성향(%),4.19,3.12,9.00,0.00,4.43,
발행주식수(보통주),"14,700,000","14,700,000","14,700,000","14,700,000","14,700,000",
