주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,90,99,88,60,79
영업이익,-8,-32,-53,-51,-52
영업이익(발표기준),-8,-32,-53,-51,-52
세전계속사업이익,-40,-51,-193,-73,-139
당기순이익,-40,-51,-193,-74,-139
  당기순이익(지배),-40,-51,-189,-72,-137
  당기순이익(비지배),,0,-4,-2,-1
자산총계,213,317,333,312,643
부채총계,104,164,175,87,127
자본총계,109,152,159,225,516
  자본총계(지배),109,152,158,225,517
  자본총계(비지배),,0,0,0,-1
자본금,36,95,124,157,38
영업활동현금흐름,16,-48,-29,-40,-36
투자활동현금흐름,66,-220,-156,-14,-143
재무활동현금흐름,-4,210,162,84,180
CAPEX,3,5,17,1,4
FCF,13,-53,-47,-41,-40
이자발생부채,76,123,55,27,89
영업이익률,-8.78,-32.82,-59.91,-85.95,-66.42
순이익률,-44.03,-51.30,-218.66,-123.68,-176.10
ROE(%),-32.51,,-121.92,-37.67,-37.05
ROA(%),-17.44,,-59.45,-22.84,-29.02
부채비율,95.49,107.92,110.07,38.90,24.59
자본유보율,204.55,133.11,71.50,97.20,"1,467.53"
EPS(원),-275,-328,-893,-261,-389
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),755,803,641,718,"1,351"
PBR(배),4.42,4.52,5.01,4.60,4.86
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"14,404,356","18,966,931","24,718,580","31,369,426","38,234,020"
