주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,745,725,814,780,873
영업이익,55,21,50,14,-4
영업이익(발표기준),55,21,50,14,-4
세전계속사업이익,30,24,48,2,-28
당기순이익,30,23,41,7,-12
  당기순이익(지배),30,23,41,7,-12
  당기순이익(비지배),,,,,
자산총계,782,922,983,973,"1,013"
부채총계,526,650,671,655,610
자본총계,256,272,312,318,404
  자본총계(지배),256,272,312,318,404
  자본총계(비지배),,,,,
자본금,130,130,166,130,20
영업활동현금흐름,126,-12,62,117,-15
투자활동현금흐름,-104,-154,-38,-37,-43
재무활동현금흐름,-12,178,-29,-33,-49
CAPEX,113,158,38,40,25
FCF,13,-170,24,77,-40
이자발생부채,258,436,408,376,332
영업이익률,7.32,2.88,6.11,1.78,-0.49
순이익률,4.00,3.19,5.08,0.86,-1.38
ROE(%),12.13,8.76,14.17,2.14,-3.33
ROA(%),4.05,2.71,4.34,0.69,-1.21
부채비율,205.43,238.92,215.33,206.16,150.98
자본유보율,97.02,109.24,160.89,210.09,"2,331.92"
EPS(원),148,115,204,31,-60
PER(배),,,,,N/A
BPS(원),"1,274","1,353","1,214","1,581","2,008"
PBR(배),,,,,1.34
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"20,107,271","20,107,271","25,663,622","20,107,271","20,107,271"
