주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,521,752,869,827,"1,048","1,200","1,363"
영업이익,-1,37,47,50,53,78,92
영업이익(발표기준),-1,37,47,50,53,,
세전계속사업이익,4,48,64,47,63,73,87
당기순이익,4,43,53,43,62,66,74
  당기순이익(지배),4,43,53,43,62,66,74
  당기순이익(비지배),,,,,,,
자산총계,355,449,448,474,537,,
부채총계,135,197,185,139,140,,
자본총계,220,252,263,335,397,,
  자본총계(지배),220,252,263,335,397,,
  자본총계(비지배),,,,,,,
자본금,6,6,6,6,22,,
영업활동현금흐름,13,-8,131,68,106,,
투자활동현금흐름,-32,5,-7,-68,-45,,
재무활동현금흐름,6,15,-36,-72,5,,
CAPEX,29,16,22,36,125,,
FCF,-17,-23,108,31,-19,,
이자발생부채,41,66,72,0,5,,
영업이익률,-0.20,4.96,5.42,6.01,5.07,6.50,6.75
순이익률,0.74,5.68,6.06,5.15,5.92,5.50,5.43
ROE(%),1.68,18.11,20.44,14.24,16.94,,
ROA(%),1.12,10.63,11.73,9.23,12.27,,
부채비율,61.61,77.97,70.53,41.52,35.23,,
자본유보율,"3,536.06","4,060.40","4,231.12","5,381.43","1,750.05",,
EPS(원),18,196,241,195,284,259,279
PER(배),,,,,,21.11,19.54
BPS(원),"1,005","1,155","1,204","1,533","1,819",,
PBR(배),0.00,0.00,0.00,0.00,0.00,,
현금DPS(원),"4,249",379,0,0,,,
현금배당수익률,,,,,,,
현금배당성향(%),649.55,98.32,0.00,0.00,,,
발행주식수(보통주),"21,840,000","21,840,000","21,840,000","21,840,000","21,840,000",,
