주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,584,731,763,872,965,"1,072","1,189","1,306"
영업이익,43,70,98,133,159,199,244,284
영업이익(발표기준),43,70,98,133,159,,,
세전계속사업이익,33,24,71,126,158,214,260,294
당기순이익,22,17,47,79,154,161,201,233
  당기순이익(지배),22,20,50,95,154,161,201,233
  당기순이익(비지배),,-3,-3,-16,,,,
자산총계,803,827,902,"1,363","1,527","1,685","1,885","2,111"
부채총계,553,546,538,746,718,726,740,756
자본총계,250,281,364,617,808,959,"1,145","1,355"
  자본총계(지배),250,277,363,617,808,959,"1,145","1,355"
  자본총계(비지배),,,1,,,,,
자본금,49,50,55,119,119,119,119,119
영업활동현금흐름,48,20,95,273,190,151,191,234
투자활동현금흐름,-85,-53,-9,-368,-436,-26,-27,-27
재무활동현금흐름,104,3,-10,235,-16,-17,-18,-20
CAPEX,13,139,12,186,1,1,2,2
FCF,36,-118,82,87,189,,,
이자발생부채,76,77,47,4,4,,,
영업이익률,7.42,9.58,12.87,15.27,16.51,18.57,20.51,21.78
순이익률,3.81,2.31,6.15,9.01,15.95,15.02,16.90,17.84
ROE(%),9.29,7.43,15.55,19.36,21.00,18.22,19.11,18.64
ROA(%),3.20,2.07,5.43,6.93,11.26,10.03,11.26,11.66
부채비율,221.38,194.48,148.00,120.86,88.89,75.70,64.63,55.79
자본유보율,529.35,580.45,726.46,439.86,563.35,,,
EPS(원),112,98,230,411,648,678,846,981
PER(배),24.03,38.91,23.93,26.39,16.51,14.32,11.47,9.90
BPS(원),"1,300","1,415","1,694","2,599","3,403","4,039","4,822","5,706"
PBR(배),2.08,2.71,3.25,4.18,3.14,2.40,2.01,1.70
현금DPS(원),30,30,45,55,70,80,90,100
현금배당수익률,1.11,0.78,0.82,0.51,0.65,0.82,0.93,1.03
현금배당성향(%),25.16,29.13,18.86,13.77,10.80,11.80,10.63,10.19
발행주식수(보통주),"19,786,000","20,146,036","21,982,218","23,746,361","23,746,361",,,
