주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,444","1,587","1,688","1,661","1,715"
영업이익,323,362,336,300,291
영업이익(발표기준),323,362,336,300,291
세전계속사업이익,321,372,371,225,304
당기순이익,248,285,282,174,227
  당기순이익(지배),248,285,282,174,227
  당기순이익(비지배),,,,,
자산총계,"1,844","2,348","2,469","2,531","2,725"
부채총계,685,944,801,712,697
자본총계,"1,159","1,404","1,668","1,819","2,028"
  자본총계(지배),"1,159","1,404","1,668","1,819","2,028"
  자본총계(비지배),,,,,
자본금,30,30,30,30,30
영업활동현금흐름,205,449,353,336,406
투자활동현금흐름,-208,-356,-208,-109,-115
재무활동현금흐름,47,180,-103,-57,-74
CAPEX,210,467,173,54,118
FCF,-6,-17,180,283,288
이자발생부채,206,384,318,288,235
영업이익률,22.33,22.82,19.93,18.04,16.95
순이익률,17.19,17.97,16.69,10.46,13.22
ROE(%),23.78,22.26,18.34,9.97,11.79
ROA(%),14.41,13.61,11.70,6.95,8.63
부채비율,59.13,67.25,48.02,39.12,34.38
자본유보율,"3,762.69","4,578.72","5,459.18","5,964.12","6,660.27"
EPS(원),"4,139","4,753","4,694","2,897","3,778"
PER(배),9.89,8.07,6.74,11.37,7.60
BPS(원),"19,313","23,394","27,796","30,321","33,801"
PBR(배),2.12,1.64,1.14,1.09,0.85
현금DPS(원),300,300,400,400,400
현금배당수익률,0.73,0.78,1.26,1.21,1.39
현금배당성향(%),7.25,5.88,7.64,12.38,9.49
발행주식수(보통주),"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000"
