주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,149","1,050",707,64,473
영업이익,5,-68,-18,-27,8
영업이익(발표기준),5,-68,-18,-27,8
세전계속사업이익,4,-92,-55,-333,-152
당기순이익,3,-100,-35,-354,-148
  당기순이익(지배),3,-100,-35,-349,-148
  당기순이익(비지배),,,,-5,
자산총계,358,436,412,409,450
부채총계,85,263,203,376,125
자본총계,273,173,209,33,324
  자본총계(지배),273,173,209,33,324
  자본총계(비지배),,,,,
자본금,338,338,368,48,90
영업활동현금흐름,-13,18,-48,3,-88
투자활동현금흐름,71,-100,-59,-124,-22
재무활동현금흐름,-38,81,69,115,157
CAPEX,4,4,31,117,47
FCF,-17,13,-79,-114,-135
이자발생부채,58,158,130,147,94
영업이익률,0.48,-6.51,-2.54,-42.10,1.66
순이익률,0.24,-9.49,-4.93,-555.73,-31.29
ROE(%),1.08,-44.67,-18.23,-274.19,-82.74
ROA(%),0.73,-25.12,-8.22,-85.81,-34.44
부채비율,30.99,151.76,97.20,"1,132.15",38.67
자본유보율,-3.69,-33.65,-37.91,-55.69,259.41
EPS(원),43,"-1,476",-510,"-4,699",-933
PER(배),122.49,N/A,N/A,N/A,N/A
BPS(원),"4,043","2,564","2,843",349,"1,808"
PBR(배),1.30,2.45,1.27,27.99,2.25
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,755,884","6,755,884","7,355,884","9,509,727","17,936,367"
