주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,919,910,"1,272","1,201","1,500","1,835","2,296"
영업이익,220,81,348,300,348,462,626
영업이익(발표기준),220,81,348,300,348,,
세전계속사업이익,135,63,354,165,338,450,610
당기순이익,97,72,256,114,281,379,499
  당기순이익(지배),86,55,217,112,283,367,496
  당기순이익(비지배),11,17,39,2,-1,,
자산총계,"1,768","2,253","2,732","3,214","3,482","3,915","4,494"
부채총계,620,"1,060","1,295","1,595","1,606","1,594","1,714"
자본총계,"1,148","1,193","1,437","1,619","1,875","2,322","2,780"
  자본총계(지배),"1,104","1,137","1,424","1,604","1,870","2,302","2,758"
  자본총계(비지배),44,,12,15,5,,
자본금,76,76,78,78,79,79,79
영업활동현금흐름,56,122,96,191,63,309,399
투자활동현금흐름,-157,-204,-438,-257,-125,-154,-228
재무활동현금흐름,113,203,249,443,-126,-41,-68
CAPEX,151,181,163,120,191,126,199
FCF,-94,-59,-67,70,-129,174,191
이자발생부채,289,478,681,"1,104","1,082",,
영업이익률,23.98,8.88,27.34,24.99,23.19,25.16,27.25
순이익률,10.51,7.89,20.13,9.50,18.74,20.67,21.75
ROE(%),7.88,4.87,16.97,7.37,16.27,17.61,19.61
ROA(%),5.90,3.57,10.27,3.84,8.40,10.26,11.88
부채비율,54.05,88.88,90.17,98.56,85.65,68.65,61.64
자본유보율,"1,413.01","1,456.59","1,824.64","1,956.96","2,403.95",,
EPS(원),564,360,"1,412",718,"1,806","2,144","2,727"
PER(배),62.84,79.97,29.74,44.05,20.68,14.60,11.48
BPS(원),"7,515","7,738","9,524","10,824","12,629","13,363","16,011"
PBR(배),4.72,3.72,4.41,2.92,2.96,2.34,1.95
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"15,171,403","15,171,403","15,523,602","15,523,602","15,774,309",,
