주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"2,053","2,099","2,042","1,417","2,122"
영업이익,102,60,46,-86,78
영업이익(발표기준),102,60,46,-86,78
세전계속사업이익,45,30,11,-259,49
당기순이익,40,21,7,-232,76
  당기순이익(지배),40,21,7,-232,73
  당기순이익(비지배),,,,,3
자산총계,"1,511","1,573","1,480","1,173","2,193"
부채총계,820,849,759,673,"1,634"
자본총계,690,724,722,501,559
  자본총계(지배),690,724,722,501,524
  자본총계(비지배),,,,,35
자본금,387,387,387,387,398
영업활동현금흐름,98,-19,144,118,-103
투자활동현금흐름,-33,-78,-38,8,-237
재무활동현금흐름,-61,80,-68,-89,324
CAPEX,27,77,37,7,67
FCF,71,-97,108,111,-170
이자발생부채,523,583,527,448,"1,045"
영업이익률,4.99,2.86,2.25,-6.10,3.66
순이익률,1.96,1.01,0.34,-16.35,3.59
ROE(%),7.30,3.01,0.96,-37.90,
ROA(%),2.75,1.38,0.46,-17.46,
부채비율,118.79,117.15,105.15,134.31,292.28
자본유보율,58.70,67.30,66.41,33.08,34.85
EPS(원),56,28,9,-299,93
PER(배),17.24,35.63,110.81,N/A,8.41
BPS(원),902,946,942,654,664
PBR(배),1.08,1.04,1.05,1.28,1.18
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"73,112,826","73,112,826","73,112,826","73,112,826","75,398,540"
