주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,193,171,236,216,230,389
영업이익,-7,-28,-13,-14,5,40
영업이익(발표기준),-7,-28,-13,-14,5,
세전계속사업이익,15,-24,-10,-10,12,
당기순이익,-37,-24,-10,-9,11,
  당기순이익(지배),-37,-24,-10,-9,11,
  당기순이익(비지배),,,,,,
자산총계,351,334,341,320,348,
부채총계,46,45,56,43,61,
자본총계,304,289,285,277,287,
  자본총계(지배),304,289,285,277,287,
  자본총계(비지배),,,,,,
자본금,68,68,68,68,68,
영업활동현금흐름,8,0,-20,-11,33,
투자활동현금흐름,61,-73,18,15,3,
재무활동현금흐름,-10,7,4,-2,-1,
CAPEX,0,1,4,5,17,
FCF,7,-1,-24,-16,16,
이자발생부채,0,0,2,1,0,
영업이익률,-3.46,-16.57,-5.31,-6.30,2.13,10.28
순이익률,-19.09,-13.86,-4.15,-4.31,4.61,
ROE(%),-10.85,-7.97,-3.41,-3.30,3.75,
ROA(%),-9.56,-6.90,-2.90,-2.81,3.17,
부채비율,15.17,15.73,19.60,15.50,21.21,
자본유보율,364.39,333.93,321.50,309.71,323.89,
EPS(원),-272,-175,-72,-69,78,
PER(배),N/A,N/A,N/A,N/A,41.36,
BPS(원),"2,332","2,176","2,108","2,049","2,119",
PBR(배),0.83,0.92,1.30,1.51,1.53,
현금DPS(원),0,0,0,0,,
현금배당수익률,0.00,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"13,541,002","13,541,002","13,541,002","13,541,002",,
