주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,17,75,73,216,288
영업이익,-51,-64,-95,-44,-72
영업이익(발표기준),-51,-64,-95,-44,-72
세전계속사업이익,-56,-73,-140,-106,-82
당기순이익,-56,-73,-140,-106,-82
  당기순이익(지배),-56,-73,-140,-106,-82
  당기순이익(비지배),,,,,0
자산총계,301,381,425,629,928
부채총계,144,274,579,290,348
자본총계,156,107,-154,339,580
  자본총계(지배),156,107,-154,339,535
  자본총계(비지배),,,,,45
자본금,117,117,80,237,283
영업활동현금흐름,-56,-51,-93,24,-62
투자활동현금흐름,-55,-73,-46,-209,-152
재무활동현금흐름,114,140,125,195,302
CAPEX,54,27,72,43,28
FCF,-110,-78,-165,-20,-91
이자발생부채,126,246,499,190,182
영업이익률,-291.18,-85.37,-130.06,-20.39,-25.14
순이익률,-317.99,-98.10,-190.73,-49.23,-28.40
ROE(%),-37.60,-55.79,,-114.70,-18.81
ROA(%),-20.80,-21.57,,-20.14,-10.52
부채비율,92.46,254.93,-375.30,85.36,59.91
자본유보율,33.34,-8.35,-297.16,39.38,83.53
EPS(원),-410,-522,-962,-327,-155
PER(배),,,,,N/A
BPS(원),"1,110",763,-908,716,944
PBR(배),0.00,0.00,0.00,0.00,2.68
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"13,028,710","13,028,710","15,942,980","47,383,030","56,646,211"
