주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,154,354,403,437,567
영업이익,33,81,74,103,100
영업이익(발표기준),33,81,74,103,100
세전계속사업이익,-15,70,76,99,115
당기순이익,-15,53,62,82,99
  당기순이익(지배),-15,53,62,82,99
  당기순이익(비지배),,,,,
자산총계,124,213,275,408,805
부채총계,23,39,26,57,69
자본총계,100,175,250,350,736
  자본총계(지배),100,175,250,350,736
  자본총계(비지배),,,,,
자본금,1,1,7,7,9
영업활동현금흐름,23,75,46,96,94
투자활동현금흐름,-1,-81,-50,-13,-110
재무활동현금흐름,-1,-10,-1,-2,248
CAPEX,0,0,0,1,2
FCF,23,75,45,95,92
이자발생부채,10,0,1,13,10
영업이익률,21.18,22.81,18.43,23.46,17.68
순이익률,-9.95,14.90,15.34,18.65,17.53
ROE(%),-14.39,38.38,29.18,27.18,
ROA(%),-12.04,31.29,25.32,23.88,
부채비율,23.34,22.24,10.35,16.31,9.36
자본유보율,"14,533.52","21,103.00","2,996.07","4,166.28","7,079.17"
EPS(원),-242,819,834,"1,098","1,081"
PER(배),,,,,22.19
BPS(원),"1,585","2,351","3,362","4,719","7,911"
PBR(배),0.00,0.00,0.00,0.00,3.03
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,300,000","7,425,000","7,425,000","7,425,000","9,304,000"
