주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,228,209,212,327,270
영업이익,-24,-14,-3,46,21
영업이익(발표기준),-24,-14,-3,46,21
세전계속사업이익,-25,-23,-18,43,29
당기순이익,-25,-24,-21,42,29
  당기순이익(지배),-25,-24,-21,42,29
  당기순이익(비지배),,,,,
자산총계,442,416,409,446,483
부채총계,26,23,34,33,30
자본총계,416,393,375,413,453
  자본총계(지배),416,393,375,413,453
  자본총계(비지배),,,,,
자본금,42,42,42,42,42
영업활동현금흐름,3,16,12,63,42
투자활동현금흐름,5,-29,6,-11,-30
재무활동현금흐름,0,,-3,-4,-3
CAPEX,25,17,8,20,20
FCF,-22,0,4,43,22
이자발생부채,0,0,10,7,6
영업이익률,-10.64,-6.87,-1.19,14.16,7.88
순이익률,-10.76,-11.37,-9.94,12.95,10.62
ROE(%),-5.71,-5.88,-5.49,10.75,6.62
ROA(%),-5.34,-5.54,-5.11,9.91,6.17
부채비율,6.15,5.98,9.16,8.01,6.59
자본유보율,879.05,822.45,772.23,873.10,941.38
EPS(원),-293,-283,-251,504,341
PER(배),N/A,N/A,N/A,12.10,15.00
BPS(원),"5,016","4,737","4,519","4,975","5,464"
PBR(배),0.55,0.57,0.68,1.23,0.94
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"8,396,593","8,396,593","8,396,593","8,396,593","8,396,593"
