주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,283,382,476,"1,428","1,594","2,140","2,520","2,720"
영업이익,47,72,91,257,228,340,390,500
영업이익(발표기준),47,72,91,257,228,,,
세전계속사업이익,40,71,91,221,239,,,
당기순이익,32,56,72,171,191,,,
  당기순이익(지배),32,56,72,168,165,250,280,360
  당기순이익(비지배),,,,3,26,,,
자산총계,264,326,409,902,"1,811",,,
부채총계,57,69,80,190,238,,,
자본총계,207,257,329,712,"1,572",,,
  자본총계(지배),207,257,329,615,"1,396",,,
  자본총계(비지배),,,,97,176,,,
자본금,0,0,0,85,100,,,
영업활동현금흐름,39,69,46,223,186,,,
투자활동현금흐름,-53,-21,-115,-49,-524,,,
재무활동현금흐름,66,-5,-3,-72,599,,,
CAPEX,53,1,1,44,82,,,
FCF,-13,68,44,179,104,,,
이자발생부채,34,32,35,3,23,,,
영업이익률,16.56,18.93,19.13,17.98,14.33,15.89,15.48,18.38
순이익률,11.23,14.55,15.20,11.96,11.98,,,
ROE(%),19.39,23.93,24.71,35.59,16.38,,,
ROA(%),14.88,18.84,19.70,23.66,14.08,,,
부채비율,27.45,26.65,24.48,26.71,15.17,,,
자본유보율,"195,647.04","248,221.65","313,732.11",615.87,"1,341.14",,,
EPS(원),212,371,484,"1,070",871,"1,254","1,404","1,806"
PER(배),,,,,15.62,9.21,8.22,6.40
BPS(원),"1,382","1,721","2,196","3,626","7,108",,,
PBR(배),0.00,0.00,0.00,0.00,1.91,,,
현금DPS(원),0,20,32,0,300,,,
현금배당수익률,,,,,2.21,,,
현금배당성향(%),0.00,5.71,6.91,0.00,16.71,,,
발행주식수(보통주),"14,960,000","14,960,000","14,960,000","16,947,436","19,938,160",,,
