주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,,,,249,258
영업이익,,,,34,22
영업이익(발표기준),,,,34,22
세전계속사업이익,,,,62,-16
당기순이익,,,,50,-18
  당기순이익(지배),,,,50,-18
  당기순이익(비지배),,,,,
자산총계,,,,224,295
부채총계,,,,147,113
자본총계,,,,77,182
  자본총계(지배),,,,77,182
  자본총계(비지배),,,,,
자본금,,,,8,30
영업활동현금흐름,,,,58,-4
투자활동현금흐름,,,,-33,27
재무활동현금흐름,,,,39,-9
CAPEX,,,,37,3
FCF,,,0,21,-7
이자발생부채,,,0,79,82
영업이익률,,,,13.80,8.72
순이익률,,,,20.31,-6.86
ROE(%),,,,,-13.69
ROA(%),,,,,-6.83
부채비율,,,,190.95,62.29
자본유보율,,,,860.34,501.81
EPS(원),,,,167,-59
PER(배),,,,,N/A
BPS(원),,,,255,602
PBR(배),,,,,6.75
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),,,,0.00,
발행주식수(보통주),"30,181,200","30,181,200","30,181,200","30,181,200","30,181,200"
