주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,852","2,739","2,806","2,742","1,589"
영업이익,480,102,101,49,-225
영업이익(발표기준),480,102,101,49,-225
세전계속사업이익,475,100,86,13,125
당기순이익,378,81,58,8,93
  당기순이익(지배),378,68,32,36,115
  당기순이익(비지배),,13,26,-28,-22
자산총계,"2,002","2,460","2,861","2,814","2,790"
부채총계,441,715,"1,008",782,985
자본총계,"1,561","1,746","1,853","2,033","1,805"
  자본총계(지배),"1,561","1,548","1,600","1,648","1,801"
  자본총계(비지배),,,253,385,5
자본금,395,395,395,395,395
영업활동현금흐름,499,-73,95,163,-191
투자활동현금흐름,-371,276,-101,-77,-592
재무활동현금흐름,-16,68,31,130,349
CAPEX,84,142,54,10,46
FCF,415,-215,41,153,-237
이자발생부채,75,289,346,385,559
영업이익률,16.82,3.71,3.60,1.79,-14.13
순이익률,13.25,2.96,2.05,0.30,5.87
ROE(%),27.22,,2.02,2.21,6.69
ROA(%),18.85,,2.16,0.29,3.33
부채비율,28.23,40.95,54.40,38.45,54.54
자본유보율,320.52,328.76,334.79,347.33,370.88
EPS(원),482,86,40,45,146
PER(배),7.43,37.09,74.55,48.96,18.35
BPS(원),"2,011","2,012","2,080","2,164","2,364"
PBR(배),1.78,1.59,1.44,1.03,1.13
현금DPS(원),40,20,20,20,20
현금배당수익률,1.12,0.63,0.67,0.90,0.75
현금배당성향(%),8.22,22.61,48.49,42.43,13.21
발행주식수(보통주),"78,990,426","78,990,426","78,990,426","78,990,426","78,990,426"
