주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,410","2,944","2,789","2,259","2,384"
영업이익,211,249,156,142,143
영업이익(발표기준),211,249,156,142,143
세전계속사업이익,185,190,29,79,96
당기순이익,164,123,10,20,90
  당기순이익(지배),155,210,27,35,93
  당기순이익(비지배),9,-88,-17,-14,-2
자산총계,"3,813","4,109","4,539","4,779","4,888"
부채총계,"2,242","2,459","2,936","3,204","3,222"
자본총계,"1,571","1,650","1,604","1,576","1,665"
  자본총계(지배),"1,210","1,575","1,546","1,549","1,651"
  자본총계(비지배),361,,58,27,14
자본금,130,173,171,171,171
영업활동현금흐름,390,198,516,527,663
투자활동현금흐름,239,-476,-722,-504,-350
재무활동현금흐름,391,132,4,-63,-488
CAPEX,208,329,604,553,306
FCF,182,-131,-88,-26,357
이자발생부채,"1,822","1,986","2,535","2,823","2,894"
영업이익률,8.73,8.46,5.58,6.28,5.99
순이익률,6.82,4.17,0.35,0.90,3.79
ROE(%),13.54,15.11,1.72,2.23,5.79
ROA(%),5.45,3.10,0.22,0.43,1.87
부채비율,142.69,149.03,183.09,203.32,193.54
자본유보율,830.03,"1,044.06","1,042.11","1,043.46","1,102.85"
EPS(원),596,621,78,101,271
PER(배),20.81,14.48,99.82,56.50,20.20
BPS(원),"4,650","5,192","5,096","5,106","5,444"
PBR(배),2.67,1.73,1.53,1.12,1.01
현금DPS(원),110,110,110,110,110
현금배당수익률,0.89,1.22,1.41,1.92,2.01
현금배당성향(%),18.46,15.86,124.30,96.50,36.01
발행주식수(보통주),"26,015,009","34,645,728","34,147,728","34,147,728","34,147,728"
