주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,160,192,221,235,262
영업이익,-11,36,43,48,36
영업이익(발표기준),-11,36,43,48,36
세전계속사업이익,-10,36,45,49,39
당기순이익,-11,34,42,49,32
  당기순이익(지배),-11,34,42,49,32
  당기순이익(비지배),,,,,
자산총계,135,177,250,486,567
부채총계,107,112,143,121,187
자본총계,28,65,107,365,380
  자본총계(지배),28,65,107,365,380
  자본총계(비지배),,,,,
자본금,5,5,20,28,28
영업활동현금흐름,17,49,43,34,59
투자활동현금흐름,1,-9,-41,-248,-41
재무활동현금흐름,-3,-10,-5,197,-25
CAPEX,0,0,1,3,10
FCF,16,48,42,31,49
이자발생부채,10,0,9,9,35
영업이익률,-6.59,18.61,19.61,20.41,13.83
순이익률,-7.02,17.80,18.77,20.66,12.35
ROE(%),-33.12,73.29,48.12,,8.67
ROA(%),-8.09,21.89,19.44,,6.13
부채비율,380.08,171.88,132.78,33.28,49.30
자본유보율,460.85,"1,189.22",428.27,"1,192.47","1,317.37"
EPS(원),-278,849,"1,032",975,574
PER(배),,,,19.95,22.58
BPS(원),701,"1,617","2,671","6,551","6,957"
PBR(배),0.00,0.00,0.00,2.97,1.86
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,023,720","4,023,720","4,023,720","5,565,870","5,659,054"
