주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,285,287,297,336,363
영업이익,69,70,53,46,64
영업이익(발표기준),69,70,53,46,64
세전계속사업이익,70,74,60,59,78
당기순이익,55,61,49,50,65
  당기순이익(지배),55,61,49,50,65
  당기순이익(비지배),,,,,
자산총계,364,679,724,944,"1,144"
부채총계,70,71,91,284,351
자본총계,293,609,633,659,793
  자본총계(지배),293,609,633,659,793
  자본총계(비지배),,,,,
자본금,30,45,45,45,72
영업활동현금흐름,70,43,60,61,39
투자활동현금흐름,13,-217,-134,175,-523
재무활동현금흐름,-51,258,-24,147,122
CAPEX,1,1,24,16,51
FCF,70,42,36,45,-12
이자발생부채,2,2,9,120,232
영업이익률,24.12,24.50,17.97,13.69,17.72
순이익률,19.16,21.07,16.55,14.80,17.82
ROE(%),20.14,13.43,7.91,7.71,8.92
ROA(%),15.19,11.62,7.00,5.97,6.20
부채비율,23.87,11.59,14.31,43.16,44.26
자본유보율,672.09,"1,108.23","1,161.73","1,222.64",914.84
EPS(원),529,487,316,320,399
PER(배),,22.05,21.67,23.89,14.82
BPS(원),"2,844","3,910","4,066","4,234","4,778"
PBR(배),0.00,2.75,1.68,1.80,1.24
현금DPS(원),97,128,145,0,0
현금배당수익률,,1.19,2.13,0.00,0.00
현금배당성향(%),18.32,32.88,46.07,0.00,
발행주식수(보통주),"10,318,242","15,567,476","15,567,476","15,567,476","16,598,986"
