주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,637,542,481,304,140
영업이익,108,53,-18,-85,-94
영업이익(발표기준),108,53,-18,-85,-94
세전계속사업이익,87,51,-29,-110,-397
당기순이익,64,40,-29,-107,-417
  당기순이익(지배),64,40,-29,-106,-417
  당기순이익(비지배),,,0,0,
자산총계,446,320,522,206,85
부채총계,61,27,214,35,50
자본총계,385,293,309,171,34
  자본총계(지배),385,293,305,171,34
  자본총계(비지배),,,4,,
자본금,55,57,57,65,80
영업활동현금흐름,56,15,-49,0,-49
투자활동현금흐름,-3,61,-179,155,-540
재무활동현금흐름,,-150,180,-130,557
CAPEX,0,0,0,0,2
FCF,55,15,-49,0,-51
이자발생부채,20,0,182,5,35
영업이익률,16.88,9.87,-3.66,-28.12,-67.02
순이익률,10.10,7.39,-6.00,-35.10,-296.48
ROE(%),21.71,11.80,,-44.66,-394.93
ROA(%),18.69,10.45,,-29.28,-281.24
부채비율,15.82,9.10,69.16,20.56,147.69
자본유보율,665.65,565.92,540.58,329.03,24.61
EPS(원),589,352,-256,-900,"-2,631"
PER(배),15.81,21.31,N/A,N/A,N/A
BPS(원),"3,530","2,615","2,716","1,341",214
PBR(배),2.64,2.87,1.70,5.17,11.86
현금DPS(원),945,0,0,0,0
현금배당수익률,10.15,0.00,0.00,0.00,0.00
현금배당성향(%),156.02,0.00,0.00,0.00,
발행주식수(보통주),"10,967,854","11,366,254","11,366,254","12,919,400","15,965,572"
