주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,909,976,961,834,854
영업이익,29,33,25,-14,-28
영업이익(발표기준),29,33,25,-14,-28
세전계속사업이익,26,33,43,-24,-31
당기순이익,20,26,33,-31,-26
  당기순이익(지배),20,26,33,-31,-26
  당기순이익(비지배),,,,,
자산총계,844,902,987,"1,113",994
부채총계,237,276,338,511,403
자본총계,607,626,649,601,592
  자본총계(지배),607,626,649,601,592
  자본총계(비지배),,,,,
자본금,162,162,162,162,162
영업활동현금흐름,26,61,70,29,-19
투자활동현금흐름,2,-69,-96,-84,-13
재무활동현금흐름,-28,23,3,102,-15
CAPEX,8,71,97,148,29
FCF,19,-10,-27,-119,-48
이자발생부채,120,152,194,316,282
영업이익률,3.15,3.39,2.60,-1.74,-3.23
순이익률,2.18,2.64,3.44,-3.77,-3.05
ROE(%),3.28,4.17,5.18,-5.03,-4.37
ROA(%),2.31,2.95,3.50,-2.99,-2.47
부채비율,38.99,44.15,52.12,85.03,68.09
자본유보율,279.66,294.30,308.48,284.47,274.64
EPS(원),122,159,204,-194,-161
PER(배),16.67,12.47,9.82,N/A,N/A
BPS(원),"3,913","4,031","4,179","4,006","3,814"
PBR(배),0.52,0.49,0.48,0.50,0.75
현금DPS(원),50,50,50,30,30
현금배당수익률,2.46,2.53,2.50,1.49,1.05
현금배당성향(%),33.64,30.15,20.03,-14.33,-17.87
발행주식수(보통주),"16,213,590","16,213,590","16,213,590","16,213,590","16,213,590"
