주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,311,"1,245","1,006",683,454
영업이익,68,282,-87,-339,-441
영업이익(발표기준),68,282,-87,-339,-441
세전계속사업이익,56,"-1,057",-88,-404,-383
당기순이익,57,"-1,065",-81,-464,-393
  당기순이익(지배),57,"-1,065",-78,-461,-392
  당기순이익(비지배),,0,-3,-3,0
자산총계,124,"1,121","1,062",621,118
부채총계,113,214,218,293,172
자본총계,11,906,844,328,-53
  자본총계(지배),11,906,839,327,-53
  자본총계(비지배),,,5,1,
자본금,3,40,40,40,41
영업활동현금흐름,66,290,-124,-160,-444
투자활동현금흐름,-41,-24,-581,229,300
재무활동현금흐름,-1,558,-14,-43,3
CAPEX,3,12,32,10,5
FCF,63,278,-156,-170,-449
이자발생부채,25,0,33,45,59
영업이익률,21.73,22.67,-8.65,-49.66,-97.10
순이익률,18.43,-85.53,-8.08,-67.98,-86.43
ROE(%),-334.63,,-8.99,-79.10,-286.64
ROA(%),79.09,,-7.45,-55.16,-106.21
부채비율,"1,033.86",23.66,25.81,89.22,-322.01
자본유보율,240.17,"2,152.98","1,957.05",798.25,-151.92
EPS(원),"1,466","-19,744",-981,"-5,727","-4,809"
PER(배),,N/A,N/A,N/A,N/A
BPS(원),279,"11,347","10,465","4,290",-685
PBR(배),0.00,2.01,1.33,3.22,N/A
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,300,000","7,986,521","8,016,521","8,071,688","8,206,916"
