주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,954,"1,121","1,656","2,123",996,"1,923","2,624"
영업이익,24,134,283,334,38,272,474
영업이익(발표기준),24,134,283,334,38,,
세전계속사업이익,-31,137,270,324,68,298,508
당기순이익,-28,100,211,260,46,238,406
  당기순이익(지배),-26,104,211,260,48,236,402
  당기순이익(비지배),-2,-4,-1,0,-1,,
자산총계,938,"1,331","1,583","1,533","1,691","2,118","2,673"
부채총계,411,855,910,633,730,928,"1,087"
자본총계,527,477,673,899,961,"1,190","1,586"
  자본총계(지배),535,489,686,912,961,"1,188","1,580"
  자본총계(비지배),-8,,-13,-13,,,
자본금,54,54,54,54,54,54,54
영업활동현금흐름,27,86,228,103,-18,16,223
투자활동현금흐름,3,-169,-89,-71,-356,-156,-102
재무활동현금흐름,-15,64,-57,70,224,-20,-8
CAPEX,8,154,48,100,331,40,40
FCF,19,-68,180,3,-350,-25,178
이자발생부채,86,175,137,242,506,,
영업이익률,2.55,11.95,17.11,15.73,3.80,14.14,18.06
순이익률,-2.98,8.94,12.73,12.25,4.65,12.38,15.47
ROE(%),-4.73,20.26,36.00,32.49,5.10,21.97,29.05
ROA(%),-2.92,8.83,14.46,16.69,2.87,12.50,16.95
부채비율,77.84,179.38,135.23,70.44,76.00,77.98,68.54
자본유보율,974.03,932.10,"1,304.16","1,726.28","1,805.00",,
EPS(원),-246,969,"1,974","2,423",445,"2,203","3,752"
PER(배),N/A,5.08,5.98,8.13,89.79,16.41,9.63
BPS(원),"5,268","5,115","7,176","9,541","9,939","12,290","16,346"
PBR(배),0.68,0.96,1.64,2.06,4.02,2.94,2.21
현금DPS(원),0,150,350,420,100,100,100
현금배당수익률,0.00,3.05,2.97,2.13,0.25,0.28,0.28
현금배당성향(%),0.00,13.82,15.82,15.47,20.25,4.54,2.67
발행주식수(보통주),"10,713,625","10,713,625","10,713,625","10,713,625","10,713,625",,
