주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,406,517,649,994,"1,310"
영업이익,17,50,44,80,88
영업이익(발표기준),17,50,44,80,88
세전계속사업이익,9,51,53,74,103
당기순이익,8,40,47,57,83
  당기순이익(지배),8,40,47,57,83
  당기순이익(비지배),,,,,
자산총계,141,216,343,529,974
부채총계,81,96,164,173,111
자본총계,61,119,179,356,863
  자본총계(지배),61,119,179,356,863
  자본총계(비지배),,,,,
자본금,4,5,4,42,50
영업활동현금흐름,-13,32,14,58,25
투자활동현금흐름,13,-26,-28,-107,-294
재무활동현금흐름,-12,19,39,85,339
CAPEX,3,4,31,104,32
FCF,-16,28,-17,-46,-7
이자발생부채,71,72,138,124,68
영업이익률,4.31,9.67,6.85,8.08,6.69
순이익률,2.03,7.78,7.19,5.75,6.30
ROE(%),14.62,44.65,,21.37,13.54
ROA(%),5.80,22.52,,13.11,10.98
부채비율,132.88,80.67,91.85,48.64,12.86
자본유보율,"1,386.95","2,523.73","3,211.77",678.38,"1,559.46"
EPS(원),127,609,662,788,928
PER(배),,,,,20.79
BPS(원),929,"1,712","2,523","4,231","8,657"
PBR(배),0.00,0.00,0.00,0.00,2.23
현금DPS(원),0,0,0,0,0
현금배당수익률,,,,,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,522,480","6,930,480","6,930,480","8,416,000","10,024,764"
