주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,35,39,144,28,30
영업이익,-15,-20,43,-66,-102
영업이익(발표기준),-15,-20,43,-66,-102
세전계속사업이익,-14,-18,47,-64,-102
당기순이익,-15,-8,26,-64,-102
  당기순이익(지배),-15,-8,26,-64,-102
  당기순이익(비지배),,,,,
자산총계,209,287,470,401,298
부채총계,35,100,116,108,105
자본총계,174,187,354,293,194
  자본총계(지배),174,187,354,293,194
  자본총계(비지배),,,,,
자본금,34,36,38,76,76
영업활동현금흐름,-11,37,-4,-56,-86
투자활동현금흐름,-39,-29,-221,38,80
재무활동현금흐름,67,23,191,0,-1
CAPEX,1,24,106,34,5
FCF,-12,14,-110,-91,-91
이자발생부채,20,20,70,72,71
영업이익률,-43.74,-49.88,29.80,-237.13,-338.93
순이익률,-41.97,-21.49,17.85,-232.57,-339.22
ROE(%),-10.10,-4.67,9.49,-19.92,-42.05
ROA(%),-8.04,-3.40,6.78,-14.80,-29.27
부채비율,19.97,53.51,32.76,36.83,54.08
자본유보율,395.73,421.77,834.48,280.30,143.23
EPS(원),-117,-61,178,-425,-670
PER(배),N/A,N/A,112.67,N/A,N/A
BPS(원),"1,279","1,306","2,337","1,920","1,267"
PBR(배),25.69,15.57,8.58,19.01,13.97
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"13,600,000","14,320,000","14,352,000","15,278,069","15,278,069"
