주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,842","1,586","1,898","1,884","1,851"
영업이익,45,40,29,-31,135
영업이익(발표기준),45,40,29,-31,135
세전계속사업이익,-216,131,97,-76,220
당기순이익,-162,100,74,-50,185
  당기순이익(지배),-162,101,74,-50,152
  당기순이익(비지배),,0,0,0,33
자산총계,"4,540","4,610","4,787","4,618","5,052"
부채총계,348,330,447,374,521
자본총계,"4,192","4,280","4,340","4,244","4,531"
  자본총계(지배),"4,192","4,240","4,281","4,215","4,361"
  자본총계(비지배),,40,59,29,169
자본금,132,132,132,132,132
영업활동현금흐름,171,56,-304,481,413
투자활동현금흐름,-291,-14,-118,-124,-464
재무활동현금흐름,-5,27,-3,69,-76
CAPEX,48,259,147,185,139
FCF,124,-203,-451,297,274
이자발생부채,0,0,12,111,79
영업이익률,2.44,2.54,1.52,-1.65,7.31
순이익률,-8.81,6.32,3.90,-2.68,10.02
ROE(%),-3.80,,1.75,-1.18,3.55
ROA(%),-3.49,,1.58,-1.07,3.84
부채비율,8.31,7.71,10.29,8.81,11.50
자본유보율,"3,163.52","3,209.54","3,239.42","3,195.05","3,288.01"
EPS(원),-612,380,281,-189,574
PER(배),N/A,30.83,36.35,N/A,18.89
BPS(원),"16,205","16,392","16,548","16,293","16,860"
PBR(배),0.74,0.71,0.62,0.47,0.64
현금DPS(원),50,75,100,50,100
현금배당수익률,0.41,0.64,0.98,0.65,0.92
현금배당성향(%),-7.97,19.29,34.79,-25.78,17.00
발행주식수(보통주),"26,500,000","26,500,000","26,500,000","26,500,000","26,500,000"
