주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,63,52,93,64,136
영업이익,-11,-34,-10,-30,-21
영업이익(발표기준),-11,-34,-10,-30,-21
세전계속사업이익,-26,-40,-26,-46,-57
당기순이익,-26,-41,-27,-36,-57
  당기순이익(지배),-26,-41,-27,-36,-57
  당기순이익(비지배),,,,,
자산총계,258,223,357,531,533
부채총계,134,117,83,212,259
자본총계,124,106,274,318,273
  자본총계(지배),124,106,274,318,273
  자본총계(비지배),,,,,
자본금,30,32,50,50,50
영업활동현금흐름,6,-23,-9,-5,8
투자활동현금흐름,-41,-24,-97,-44,-62
재무활동현금흐름,42,2,143,219,-9
CAPEX,13,10,20,18,16
FCF,-7,-33,-29,-23,-8
이자발생부채,94,78,40,145,160
영업이익률,-17.91,-65.33,-10.34,-47.38,-15.47
순이익률,-40.74,-79.61,-29.36,-57.22,-42.13
ROE(%),-23.13,-36.15,-14.36,-12.28,-19.40
ROA(%),-10.54,-17.25,-9.39,-8.19,-10.79
부채비율,108.31,111.02,30.40,66.71,94.84
자본유보율,310.95,232.01,453.45,538.80,408.71
EPS(원),-391,-562,-316,-367,-580
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,738","1,404","2,767","3,215","2,761"
PBR(배),5.18,6.73,4.01,13.47,10.56
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,111,597","7,534,579","9,902,979","9,902,979","9,902,979"
