주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,311,277,319,321,314
영업이익,4,-36,-29,-20,-69
영업이익(발표기준),4,-36,-29,-20,-69
세전계속사업이익,-3,-19,-50,-36,-146
당기순이익,-3,-19,-50,-36,-146
  당기순이익(지배),-3,-19,-50,-37,-144
  당기순이익(비지배),,,0,0,-3
자산총계,279,206,220,482,243
부채총계,107,58,122,247,154
자본총계,172,148,98,235,89
  자본총계(지배),172,148,98,235,91
  자본총계(비지배),,,0,0,-3
자본금,82,82,82,147,147
영업활동현금흐름,-39,5,-5,-70,-59
투자활동현금흐름,21,61,-22,-55,32
재무활동현금흐름,15,-43,10,278,-115
CAPEX,1,4,5,10,5
FCF,-41,0,-10,-80,-64
이자발생부채,75,31,65,180,106
영업이익률,1.26,-13.11,-9.00,-6.29,-22.02
순이익률,-1.08,-6.93,-15.71,-11.35,-46.66
ROE(%),-2.14,-11.99,,-21.92,-87.99
ROA(%),-1.26,-7.91,,-10.38,-40.36
부채비율,62.56,39.01,123.86,105.10,173.97
자본유보율,118.30,89.17,28.60,65.15,-32.98
EPS(원),-22,-116,-305,-158,-485
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,057",912,606,799,311
PBR(배),1.15,1.62,2.56,3.16,4.14
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"16,466,131","16,466,131","16,466,131","29,301,683","29,301,683"
