주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,677,746,667,674,841,"1,000","1,100"
영업이익,77,36,16,103,179,185,224
영업이익(발표기준),77,36,16,103,179,,
세전계속사업이익,79,-96,11,117,277,,
당기순이익,63,-75,10,92,208,,
  당기순이익(지배),63,-75,10,92,208,155,186
  당기순이익(비지배),,,,,,,
자산총계,"1,031","1,038",901,921,"1,207",,
부채총계,226,322,169,109,212,,
자본총계,804,716,732,812,995,,
  자본총계(지배),804,716,732,812,995,,
  자본총계(비지배),,,,,,,
자본금,82,82,82,82,82,,
영업활동현금흐름,30,-173,199,100,-14,,
투자활동현금흐름,-4,1,39,-124,49,,
재무활동현금흐름,-6,107,-165,-93,36,,
CAPEX,3,4,2,2,17,,
FCF,27,-178,198,99,-31,,
이자발생부채,136,256,103,25,86,,
영업이익률,11.32,4.77,2.37,15.28,21.34,18.50,20.36
순이익률,9.29,-10.03,1.47,13.66,24.77,,
ROE(%),8.10,-9.84,1.36,11.93,23.05,,
ROA(%),6.28,-7.23,1.01,10.11,19.57,,
부채비율,28.15,44.98,23.09,13.40,21.35,,
자본유보율,884.32,774.46,796.24,905.98,"1,127.02",,
EPS(원),384,-457,60,563,"1,273",948,"1,137"
PER(배),11.08,N/A,44.52,10.05,5.68,7.54,6.29
BPS(원),"4,918","4,376","4,475","5,080","6,224",,
PBR(배),0.87,0.65,0.60,1.11,1.16,,
현금DPS(원),80,30,0,150,200,,
현금배당수익률,1.88,1.06,0.00,2.65,2.77,,
현금배당성향(%),20.81,-6.56,0.00,26.03,15.35,,
발행주식수(보통주),"16,354,800","16,354,800","16,354,800","16,354,800","16,354,800",,
