주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,30,36,41,457,303
영업이익,-44,-84,-117,35,-109
영업이익(발표기준),-44,-84,-117,35,-109
세전계속사업이익,-130,-88,-147,-58,-106
당기순이익,-130,-88,-146,-58,-106
  당기순이익(지배),-130,-87,-146,-58,-106
  당기순이익(비지배),,0,0,0,0
자산총계,164,242,250,710,887
부채총계,141,185,240,150,364
자본총계,24,57,10,559,522
  자본총계(지배),24,57,10,560,523
  자본총계(비지배),,0,0,0,0
자본금,46,57,65,91,91
영업활동현금흐름,-29,-68,-104,-187,-86
투자활동현금흐름,-16,-40,27,-97,-126
재무활동현금흐름,69,136,112,398,237
CAPEX,4,16,12,58,28
FCF,-33,-84,-116,-244,-114
이자발생부채,108,142,190,67,222
영업이익률,-149.74,-233.85,-284.45,7.61,-35.95
순이익률,-439.44,-244.27,-357.22,-12.65,-34.93
ROE(%),-362.86,,-434.64,-20.27,-19.54
ROA(%),-105.46,,-59.52,-12.03,-13.26
부채비율,593.36,323.85,"2,402.13",26.85,69.77
자본유보율,-48.29,0.25,-84.53,517.74,470.67
EPS(원),"-2,756",-847,"-1,233",-395,-579
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),261,499,79,"3,084","2,857"
PBR(배),26.85,14.04,85.63,3.65,3.19
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,103,311","11,463,008","12,974,273","18,151,744","18,296,767"
