주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,713","5,760","5,955","5,432","5,690","6,530","6,906","7,133"
영업이익,744,7,481,617,527,632,726,896
영업이익(발표기준),744,7,481,617,527,,,
세전계속사업이익,449,-99,267,261,219,352,461,563
당기순이익,363,-43,186,137,203,268,346,422
  당기순이익(지배),363,-43,186,137,203,268,346,422
  당기순이익(비지배),,0,0,0,0,,,
자산총계,"12,653","13,068","13,470","13,493","14,123","14,211","14,596","15,873"
부채총계,"6,330","6,858","7,118","7,064","7,562","7,454","7,516","8,388"
자본총계,"6,323","6,210","6,352","6,429","6,561","6,756","7,080","7,485"
  자본총계(지배),"6,323","6,209","6,351","6,428","6,559","6,756","7,080","7,484"
  자본총계(비지배),,,1,1,2,,,
자본금,537,537,537,537,540,540,540,540
영업활동현금흐름,906,522,664,928,327,"1,173","1,030","1,003"
투자활동현금흐름,-704,-698,-445,-465,"-1,065",-797,-860,"-1,003"
재무활동현금흐름,-488,602,-376,-540,493,-209,-173,-216
CAPEX,990,708,482,522,872,708,772,826
FCF,-84,-186,182,406,-545,210,230,
이자발생부채,"4,471","5,013","5,187","4,943","5,878",,,
영업이익률,11.08,0.13,8.07,11.36,9.26,9.68,10.51,12.56
순이익률,5.41,-0.76,3.12,2.52,3.57,4.10,5.01,5.92
ROE(%),5.91,-0.69,2.96,2.15,3.13,4.03,5.00,5.80
ROA(%),2.87,-0.34,1.40,1.02,1.47,1.89,2.40,2.77
부채비율,100.11,110.43,112.05,109.87,115.27,110.33,106.16,112.06
자본유보율,"1,083.10","1,068.82","1,094.95","1,105.77","1,122.96",,,
EPS(원),338,-40,173,128,189,248,321,391
PER(배),9.13,N/A,21.90,31.21,24.98,19.29,14.94,12.25
BPS(원),"5,890","5,784","5,916","5,988","6,110","6,293","6,595","6,971"
PBR(배),0.52,0.74,0.64,0.67,0.77,0.76,0.73,0.69
현금DPS(원),50,0,50,75,75,75,75,
현금배당수익률,1.62,0.00,1.32,1.88,1.59,1.57,1.57,
현금배당성향(%),14.79,0.00,28.89,58.66,39.57,30.20,23.39,
발행주식수(보통주),"107,357,173","107,357,173","107,357,173","107,357,173","107,916,306",,,
