주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,182,281,583,923,774
영업이익,-24,8,98,164,76
영업이익(발표기준),-24,8,98,164,76
세전계속사업이익,-35,-8,44,70,108
당기순이익,-37,-10,62,36,100
  당기순이익(지배),-37,-10,62,36,100
  당기순이익(비지배),,,,,0
자산총계,312,296,381,735,"1,202"
부채총계,282,253,277,123,486
자본총계,30,43,105,612,716
  자본총계(지배),30,43,105,612,713
  자본총계(비지배),,,,,3
자본금,31,33,33,52,52
영업활동현금흐름,24,6,56,174,-46
투자활동현금흐름,-1,-4,-10,-188,-344
재무활동현금흐름,-7,-3,-22,176,398
CAPEX,5,3,5,28,263
FCF,19,3,52,146,-309
이자발생부채,260,237,214,10,265
영업이익률,-12.96,2.67,16.79,17.75,9.86
순이익률,-20.54,-3.71,10.62,3.86,12.95
ROE(%),-76.20,-28.38,83.76,9.95,
ROA(%),-11.31,-3.43,18.29,6.38,
부채비율,927.71,587.85,263.75,20.16,67.83
자본유보율,8.55,41.39,226.13,"1,092.45","1,286.43"
EPS(원),-561,-156,929,431,970
PER(배),N/A,N/A,4.52,81.74,31.54
BPS(원),471,668,"1,628","6,059","7,068"
PBR(배),1.72,0.65,2.58,5.81,4.33
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,140,000","6,140,000","6,140,000","10,320,383","10,320,383"
