주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,140,141,163,256,446
영업이익,17,13,-3,-34,-91
영업이익(발표기준),17,13,-3,-34,-91
세전계속사업이익,12,9,-8,-30,-95
당기순이익,11,8,-8,-26,-95
  당기순이익(지배),11,8,-8,-26,-88
  당기순이익(비지배),,,,,-7
자산총계,224,318,315,590,998
부채총계,175,165,165,260,656
자본총계,49,154,149,330,342
  자본총계(지배),49,154,149,318,323
  자본총계(비지배),,,,12,19
자본금,20,24,24,27,28
영업활동현금흐름,9,21,3,50,-103
투자활동현금흐름,-34,-12,-39,-60,-415
재무활동현금흐름,21,56,-15,230,359
CAPEX,39,6,7,16,43
FCF,-31,14,-4,34,-146
이자발생부채,151,128,118,159,448
영업이익률,11.84,9.52,-2.11,-13.11,-20.50
순이익률,7.62,5.43,-4.76,-10.06,-21.29
ROE(%),24.43,7.54,-5.13,,-27.58
ROA(%),5.23,2.82,-2.45,,-11.96
부채비율,356.23,107.10,110.93,78.58,191.85
자본유보율,147.37,388.98,356.11,915.19,863.12
EPS(원),269,174,-164,-524,"-1,637"
PER(배),,,,N/A,N/A
BPS(원),"1,237","3,254","3,156","5,919","5,853"
PBR(배),0.00,0.00,0.00,5.63,9.16
현금DPS(원),0,0,0,0,
현금배당수익률,,,,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"3,974,060","4,724,670","4,724,670","5,394,170","5,540,890"
