주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,214,213,183,183,200
영업이익,35,20,5,2,4
영업이익(발표기준),35,20,5,2,4
세전계속사업이익,40,34,21,17,17
당기순이익,36,29,18,15,14
  당기순이익(지배),36,29,18,15,14
  당기순이익(비지배),,,,,
자산총계,753,768,771,773,785
부채총계,30,32,31,32,45
자본총계,722,736,739,740,740
  자본총계(지배),722,736,739,740,740
  자본총계(비지배),,,,,
자본금,34,36,36,36,36
영업활동현금흐름,53,51,17,32,33
투자활동현금흐름,-99,13,-1,-9,-40
재무활동현금흐름,-10,-13,-15,-14,-14
CAPEX,17,7,4,3,3
FCF,36,44,12,29,29
이자발생부채,0,0,6,7,7
영업이익률,16.52,9.42,2.76,0.86,2.02
순이익률,17.00,13.63,9.84,7.94,7.10
ROE(%),5.13,3.98,2.44,1.97,1.92
ROA(%),4.93,3.82,2.34,1.88,1.83
부채비율,4.22,4.29,4.23,4.35,6.13
자본유보율,"2,041.40","1,944.68","1,954.08","1,956.77","1,955.63"
EPS(원),506,403,250,202,197
PER(배),12.77,14.19,22.12,27.13,30.95
BPS(원),"10,030","10,224","10,271","10,285","10,279"
PBR(배),0.64,0.56,0.54,0.53,0.59
현금DPS(원),189,200,200,200,200
현금배당수익률,2.92,3.50,3.61,3.65,3.27
현금배당성향(%),37.35,49.60,79.85,99.01,101.29
발행주식수(보통주),"7,200,000","7,200,000","7,200,000","7,200,000","7,200,000"
