주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"1,303","1,705","1,714","2,282","2,708","3,261","3,929","4,936"
영업이익,477,591,592,803,"1,034","1,230","1,530","1,936"
영업이익(발표기준),477,591,592,803,"1,034",,,
세전계속사업이익,481,606,605,802,"1,063","1,261","1,573","2,018"
당기순이익,373,469,468,605,819,960,"1,195","1,530"
  당기순이익(지배),373,469,468,605,819,959,"1,195","1,530"
  당기순이익(비지배),,,,,,,,
자산총계,"1,688","2,141","2,509","3,086","3,897","4,691","5,795","7,264"
부채총계,233,300,304,381,502,495,575,620
자본총계,"1,455","1,841","2,205","2,705","3,395","4,193","5,221","6,643"
  자본총계(지배),"1,455","1,841","2,205","2,705","3,395","4,193","5,221","6,643"
  자본총계(비지배),,,,,,,,
자본금,58,58,58,58,58,59,59,59
영업활동현금흐름,396,396,362,659,786,901,"1,194","1,522"
투자활동현금흐름,-204,-278,-447,-537,-637,-544,-570,-972
재무활동현금흐름,1,-1,-2,-3,-3,-143,-147,-192
CAPEX,120,111,342,226,136,213,207,185
FCF,276,285,20,433,651,626,"1,032","1,388"
이자발생부채,0,0,4,3,6,,,
영업이익률,36.63,34.64,34.53,35.17,38.19,37.72,38.95,39.23
순이익률,28.62,27.48,27.32,26.52,30.24,29.45,30.41,31.00
ROE(%),28.75,28.43,23.15,24.65,26.85,25.27,25.38,25.80
ROA(%),24.84,24.47,20.14,21.63,23.46,22.36,22.79,23.44
부채비율,16.05,16.29,13.79,14.09,14.78,11.81,11.01,9.34
자본유보율,"2,391.66","3,054.35","3,676.58","4,533.22","5,716.06",,,
EPS(원),"3,195","4,013","4,011","5,183","7,014","8,211","10,233","13,109"
PER(배),24.10,10.07,16.43,24.17,21.17,17.23,13.83,10.79
BPS(원),"12,458","15,772","18,883","23,166","29,080","35,911","44,717","56,899"
PBR(배),6.18,2.56,3.49,5.41,5.11,3.94,3.16,2.49
현금DPS(원),700,900,900,"1,100","1,430","1,377","1,443","1,815"
현금배당수익률,0.91,2.23,1.37,0.88,0.96,0.97,1.02,1.28
현금배당성향(%),21.91,22.42,22.44,21.22,20.39,16.77,14.11,13.84
발행주식수(보통주),"11,675,000","11,675,000","11,675,000","11,675,000","11,675,000",,,
