주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,137,149,130,124,121
영업이익,30,35,14,-6,-10
영업이익(발표기준),30,35,14,-6,-10
세전계속사업이익,29,17,17,-11,65
당기순이익,24,11,16,-6,45
  당기순이익(지배),24,11,16,-6,45
  당기순이익(비지배),,,,,
자산총계,368,467,482,513,546
부채총계,184,20,20,67,40
자본총계,185,447,463,446,506
  자본총계(지배),185,447,463,446,506
  자본총계(비지배),,,,,
자본금,15,20,20,20,41
영업활동현금흐름,39,48,26,19,20
투자활동현금흐름,-32,-189,-47,24,-43
재무활동현금흐름,,67,-1,-13,15
CAPEX,12,21,190,28,146
FCF,26,26,-163,-9,-126
이자발생부채,163,0,1,2,2
영업이익률,22.09,23.55,10.70,-4.81,-8.40
순이익률,17.75,7.61,12.16,-4.46,37.09
ROE(%),14.03,3.58,,-1.22,9.44
ROA(%),6.81,2.71,,-1.11,8.48
부채비율,99.24,4.50,4.21,15.03,7.91
자본유보율,"1,153.28","2,087.18","2,164.54","2,137.51","1,138.12"
EPS(원),365,163,193,-68,549
PER(배),,91.23,59.97,N/A,19.84
BPS(원),"2,780","5,468","5,659","5,497","6,191"
PBR(배),0.00,2.72,2.05,2.11,1.76
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,000,000","8,180,000","8,180,000","8,180,000","8,180,000"
