주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,362,567,589,573,659
영업이익,12,94,79,50,-16
영업이익(발표기준),12,94,79,50,-16
세전계속사업이익,-8,80,-12,32,25
당기순이익,-10,58,-30,17,24
  당기순이익(지배),-10,58,-30,17,24
  당기순이익(비지배),,,,0,0
자산총계,272,357,486,701,746
부채총계,183,208,126,333,337
자본총계,89,148,360,368,408
  자본총계(지배),89,148,360,368,408
  자본총계(비지배),,,,0,0
자본금,32,26,33,33,33
영업활동현금흐름,-22,35,50,-10,21
투자활동현금흐름,-7,-15,73,-200,-26
재무활동현금흐름,20,-15,-45,159,-9
CAPEX,15,17,46,201,80
FCF,-37,17,4,-211,-59
이자발생부채,139,126,62,230,236
영업이익률,3.20,16.54,13.35,8.66,-2.44
순이익률,-2.85,10.19,-5.06,2.94,3.69
ROE(%),-11.09,48.65,-11.74,4.64,6.27
ROA(%),-3.93,18.39,-7.08,2.84,3.36
부채비율,204.78,140.47,35.09,90.43,82.54
자본유보율,276.96,594.42,999.87,"1,051.98","1,118.30"
EPS(원),-33,185,-95,51,74
PER(배),,,N/A,49.74,28.13
BPS(원),286,475,"1,090","1,120","1,242"
PBR(배),,,2.30,2.27,1.67
현금DPS(원),0,0,0,30,
현금배당수익률,0.00,0.00,0.00,1.18,
현금배당성향(%),0.00,0.00,0.00,58.42,
발행주식수(보통주),"28,615,909","28,615,909","33,000,440","33,000,440","33,000,440"
