주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,461,578,415,544,751
영업이익,-154,35,-51,106,242
영업이익(발표기준),-154,35,-51,106,242
세전계속사업이익,-10,-311,-160,135,562
당기순이익,"1,677",-316,-189,124,545
  당기순이익(지배),"1,764",-296,-117,94,522
  당기순이익(비지배),-87,-20,-73,30,23
자산총계,"2,617","2,128","2,010","2,087","2,888"
부채총계,770,612,699,651,746
자본총계,"1,847","1,515","1,311","1,437","2,142"
  자본총계(지배),"1,636","1,325","1,199","1,287","1,956"
  자본총계(비지배),211,,112,150,186
자본금,47,47,47,47,47
영업활동현금흐름,-31,-36,32,25,-36
투자활동현금흐름,-194,83,-7,26,6
재무활동현금흐름,27,-91,-31,-48,192
CAPEX,76,3,6,5,25
FCF,-107,-38,26,19,-61
이자발생부채,584,513,533,481,526
영업이익률,-33.29,6.14,-12.37,19.53,32.20
순이익률,363.52,-54.74,-45.61,22.76,72.55
ROE(%),115.54,-19.97,-9.23,7.54,32.18
ROA(%),58.38,-13.32,-9.16,6.04,21.92
부채비율,41.70,40.41,53.33,45.28,34.82
자본유보율,"8,317.62","7,685.42","7,417.56","7,619.65","8,819.79"
EPS(원),"21,124","-3,162","-1,246","1,003","5,580"
PER(배),0.65,N/A,N/A,11.82,5.81
BPS(원),"18,219","15,095","13,687","14,695","21,267"
PBR(배),0.75,0.54,0.46,0.81,1.53
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"9,350,844","9,350,844","9,350,844","9,350,844","9,350,844"
