주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,708,617,507,532,576
영업이익,81,-13,-17,-6,13
영업이익(발표기준),81,-13,-17,-6,13
세전계속사업이익,143,-7,37,13,76
당기순이익,113,-3,25,10,64
  당기순이익(지배),113,-3,25,10,64
  당기순이익(비지배),,,,,
자산총계,"1,609","1,642","1,686","1,562","1,638"
부채총계,166,210,254,195,228
자본총계,"1,443","1,432","1,432","1,367","1,410"
  자본총계(지배),"1,443","1,432","1,432","1,367","1,410"
  자본총계(비지배),,,,,
자본금,98,98,98,98,98
영업활동현금흐름,51,32,-6,30,53
투자활동현금흐름,-110,249,181,56,-35
재무활동현금흐름,30,-15,15,-115,-11
CAPEX,27,8,7,34,6
FCF,24,24,-12,-5,46
이자발생부채,75,75,159,115,121
영업이익률,11.46,-2.08,-3.43,-1.12,2.24
순이익률,15.99,-0.51,5.00,1.85,11.05
ROE(%),8.23,-0.22,1.77,0.71,4.59
ROA(%),7.39,-0.19,1.52,0.61,3.98
부채비율,11.49,14.66,17.74,14.28,16.19
자본유보율,"1,376.07","1,373.37","1,378.16","1,360.60","1,412.33"
EPS(원),600,-16,129,50,324
PER(배),8.68,N/A,31.29,93.69,15.84
BPS(원),"7,448","7,395","7,496","7,746","8,063"
PBR(배),0.70,0.63,0.54,0.61,0.64
현금DPS(원),75,75,150,75,150
현금배당수익률,1.44,1.60,3.72,1.60,2.92
현금배당성향(%),12.83,-463.25,113.10,134.15,41.17
발행주식수(보통주),"19,669,243","19,669,243","19,669,243","19,669,243","19,669,243"
