주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,135","1,320","1,431","1,564","2,029"
영업이익,30,30,32,50,75
영업이익(발표기준),30,30,32,50,75
세전계속사업이익,1,8,-8,28,56
당기순이익,1,2,-6,23,48
  당기순이익(지배),1,2,-6,23,48
  당기순이익(비지배),,,,,
자산총계,"1,835","1,728","1,828","1,930","2,151"
부채총계,"1,231","1,138","1,255","1,282","1,459"
자본총계,603,589,574,648,692
  자본총계(지배),603,589,574,648,692
  자본총계(비지배),,,,,
자본금,45,45,45,45,45
영업활동현금흐름,109,113,61,125,4
투자활동현금흐름,-71,-73,-105,-84,-66
재무활동현금흐름,55,-109,26,-33,70
CAPEX,75,79,111,86,65
FCF,34,34,-50,39,-61
이자발생부채,678,596,658,651,751
영업이익률,2.64,2.30,2.23,3.20,3.70
순이익률,0.06,0.16,-0.39,1.49,2.35
ROE(%),0.12,0.35,-0.96,3.83,7.11
ROA(%),0.04,0.12,-0.31,1.24,2.33
부채비율,204.12,193.13,218.69,197.77,210.77
자본유보율,954.65,935.42,899.16,943.70,"1,032.89"
EPS(원),8,23,-62,260,530
PER(배),273.90,118.51,N/A,13.45,11.02
BPS(원),"6,713","6,559","6,383","7,212","7,700"
PBR(배),0.32,0.42,0.46,0.49,0.76
현금DPS(원),25,25,25,40,40
현금배당수익률,1.15,0.90,0.85,1.14,0.68
현금배당성향(%),314.11,106.77,-40.30,15.37,7.55
발행주식수(보통주),"8,987,520","8,987,520","8,987,520","8,987,520","8,987,520"
