주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,79,85,97,82,89
영업이익,22,21,13,-10,-8
영업이익(발표기준),22,21,13,-10,-8
세전계속사업이익,20,8,10,-9,-24
당기순이익,19,6,10,-19,-24
  당기순이익(지배),19,6,10,-19,-24
  당기순이익(비지배),,,,,0
자산총계,159,180,301,292,388
부채총계,120,124,86,92,203
자본총계,39,57,216,200,185
  자본총계(지배),39,57,216,200,180
  자본총계(비지배),,,,,4
자본금,26,27,37,38,38
영업활동현금흐름,18,25,26,7,-3
투자활동현금흐름,-36,5,-80,-9,-110
재무활동현금흐름,17,-4,94,5,93
CAPEX,33,8,18,27,34
FCF,-15,17,8,-20,-37
이자발생부채,99,88,52,54,117
영업이익률,27.93,24.84,13.74,-12.08,-8.64
순이익률,23.83,7.58,10.16,-23.79,-26.65
ROE(%),30.57,13.58,7.26,-9.37,
ROA(%),11.61,3.82,4.10,-6.57,
부채비율,310.93,217.70,39.85,45.81,109.77
자본유보율,49.35,104.91,469.65,421.66,367.33
EPS(원),340,114,155,-260,-314
PER(배),,,51.83,N/A,N/A
BPS(원),684,985,"2,897","2,644","2,347"
PBR(배),0.00,0.00,2.77,2.92,4.92
현금DPS(원),0,0,0,0,0
현금배당수익률,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,145,130","5,425,120","7,440,555","7,583,555","7,683,055"
