주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,812","2,054","2,059","1,408","1,849","1,829","2,093"
영업이익,870,855,257,-371,345,224,406
영업이익(발표기준),870,855,257,-371,345,,
세전계속사업이익,852,851,252,-421,"1,283",176,348
당기순이익,700,698,256,-300,933,146,278
  당기순이익(지배),701,700,262,-296,942,147,280
  당기순이익(비지배),-1,-2,-6,-5,-9,,
자산총계,"3,809","3,950","4,215","4,678","5,777","6,518","6,665"
부채총계,"1,844","1,378","1,588","2,230","1,741","1,997","1,910"
자본총계,"1,965","2,572","2,627","2,448","4,036","4,521","4,755"
  자본총계(지배),"1,917","2,526","2,591","2,414","3,995","4,490","4,726"
  자본총계(비지배),49,,35,34,41,,
자본금,28,28,29,31,34,37,41
영업활동현금흐름,565,551,337,279,200,437,571
투자활동현금흐름,-382,-161,-284,-520,-278,-299,-369
재무활동현금흐름,-74,-460,-45,507,348,-271,-300
CAPEX,380,85,210,411,175,258,287
FCF,185,466,127,-132,25,207,245
이자발생부채,"1,142",838,"1,024","1,474","1,329",,
영업이익률,47.99,41.61,12.48,-26.32,18.66,12.25,19.40
순이익률,38.62,33.96,12.41,-21.33,50.45,7.98,13.28
ROE(%),41.32,31.50,10.24,-11.82,29.38,3.46,6.08
ROA(%),19.86,17.98,6.26,-6.76,17.84,2.38,4.22
부채비율,93.84,53.56,60.47,91.08,43.15,44.17,40.17
자본유보율,"8,699.49","10,862.70","11,287.74","10,359.92","14,061.23",,
EPS(원),"10,716","10,694","4,006","-4,520","13,474","2,066","3,935"
PER(배),37.39,45.90,65.58,N/A,10.68,58.96,30.96
BPS(원),"31,095","40,931","42,211","38,580","60,268","68,184","71,767"
PBR(배),12.89,11.99,6.22,4.34,2.39,1.79,1.70
현금DPS(원),"1,902",778,711,914,0,350,600
현금배당수익률,0.47,0.16,0.27,0.55,0.00,0.29,0.49
현금배당성향(%),16.58,6.80,16.52,-18.73,,15.60,14.04
발행주식수(보통주),"6,542,407","6,542,407","6,542,407","6,542,407","6,542,407",,
