주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,821,999,"1,109","1,048","1,118"
영업이익,75,96,124,128,100
영업이익(발표기준),75,96,124,128,100
세전계속사업이익,46,91,109,86,158
당기순이익,35,61,73,68,136
  당기순이익(지배),36,58,68,62,133
  당기순이익(비지배),0,3,5,6,3
자산총계,691,"1,299","1,367","1,542","1,493"
부채총계,225,255,309,447,283
자본총계,466,"1,044","1,059","1,095","1,210"
  자본총계(지배),465,"1,017","1,026","1,065","1,179"
  자본총계(비지배),0,,33,29,31
자본금,201,261,261,261,261
영업활동현금흐름,93,84,118,118,79
투자활동현금흐름,31,-567,-117,152,-165
재무활동현금흐름,-34,462,-51,-15,-27
CAPEX,6,7,10,27,9
FCF,88,77,107,90,71
이자발생부채,0,0,2,88,91
영업이익률,9.14,9.57,11.14,12.23,8.92
순이익률,4.31,6.09,6.62,6.54,12.18
ROE(%),7.65,7.78,6.66,5.96,11.86
ROA(%),5.29,6.12,5.50,4.71,8.97
부채비율,48.26,24.43,29.16,40.83,23.35
자본유보율,155.90,304.52,320.57,336.32,376.64
EPS(원),88,119,130,119,255
PER(배),41.31,36.93,44.08,80.38,29.61
BPS(원),"1,194","1,980","2,021","2,099","2,323"
PBR(배),3.06,2.22,2.84,4.57,3.25
현금DPS(원),30,35,40,50,40
현금배당수익률,0.82,0.80,0.70,0.52,0.53
현금배당성향(%),32.86,31.16,29.86,40.70,15.25
발행주식수(보통주),"40,286,470","52,197,139","52,197,139","52,197,139","52,197,139"
