주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,144,164,185,198,272
영업이익,26,29,30,34,59
영업이익(발표기준),26,29,30,34,59
세전계속사업이익,26,26,-9,35,47
당기순이익,23,21,-14,31,40
  당기순이익(지배),23,21,-14,31,40
  당기순이익(비지배),,,,,
자산총계,168,198,282,311,420
부채총계,69,88,25,29,104
자본총계,99,110,257,282,316
  자본총계(지배),99,110,257,282,316
  자본총계(비지배),,,,,
자본금,12,11,16,16,16
영업활동현금흐름,15,20,31,26,31
투자활동현금흐름,-8,-13,-92,-4,-81
재무활동현금흐름,-3,3,55,-6,41
CAPEX,7,8,25,9,24
FCF,8,12,5,17,7
이자발생부채,52,50,0,4,36
영업이익률,18.01,17.48,16.28,17.24,21.65
순이익률,15.69,12.96,-7.58,15.78,14.72
ROE(%),25.63,20.45,-7.66,11.60,13.40
ROA(%),14.42,11.65,-5.86,10.54,10.96
부채비율,69.93,80.45,9.62,10.32,32.87
자본유보율,742.54,897.40,"1,477.47","1,642.12","1,850.19"
EPS(원),386,336,-197,384,490
PER(배),,,N/A,21.19,17.62
BPS(원),"1,685","1,694","3,159","3,485","3,904"
PBR(배),0.00,0.00,2.16,2.34,2.21
현금DPS(원),14,14,50,75,100
현금배당수익률,,,0.73,0.92,1.16
현금배당성향(%),3.71,3.61,-28.94,19.41,20.23
발행주식수(보통주),"5,500,000","5,500,000","8,129,825","8,160,825","8,176,825"
