주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,179,213,197,204,242
영업이익,21,32,22,16,42
영업이익(발표기준),21,32,22,16,42
세전계속사업이익,17,31,31,16,70
당기순이익,17,28,28,15,58
  당기순이익(지배),17,28,28,15,58
  당기순이익(비지배),,,,,
자산총계,369,388,421,427,502
부채총계,39,34,42,36,55
자본총계,330,354,379,392,447
  자본총계(지배),330,354,379,392,447
  자본총계(비지배),,,,,
자본금,28,28,28,28,28
영업활동현금흐름,26,31,21,37,37
투자활동현금흐름,-27,26,-37,-38,25
재무활동현금흐름,-19,-3,-7,-4,-3
CAPEX,2,4,119,8,6
FCF,24,27,-98,29,32
이자발생부채,15,15,19,18,18
영업이익률,11.81,15.26,11.00,7.69,17.56
순이익률,9.50,13.03,14.39,7.49,23.99
ROE(%),5.28,8.10,7.73,3.96,13.82
ROA(%),4.57,7.32,7.00,3.60,12.47
부채비율,11.95,9.55,11.15,9.07,12.33
자본유보율,"1,210.79","1,296.97","1,385.14","1,430.69","1,627.73"
EPS(원),302,492,503,271,"1,029"
PER(배),21.97,14.58,15.47,30.06,19.64
BPS(원),"6,746","7,242","7,750","8,015","9,151"
PBR(배),0.98,0.99,1.00,1.02,2.21
현금DPS(원),70,70,50,50,100
현금배당수익률,1.05,0.98,0.64,0.61,0.50
현금배당성향(%),20.10,12.36,8.63,15.99,8.43
발행주식수(보통주),"5,636,000","5,636,000","5,636,000","5,636,000","5,636,000"
