주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,066","1,940","1,575","1,718","1,790"
영업이익,81,104,101,141,114
영업이익(발표기준),81,104,101,141,114
세전계속사업이익,82,100,102,73,118
당기순이익,65,80,80,58,82
  당기순이익(지배),65,80,80,58,83
  당기순이익(비지배),,,0,0,-1
자산총계,712,818,"1,283","1,729","2,182"
부채총계,469,405,803,"1,229","1,526"
자본총계,243,413,480,501,656
  자본총계(지배),243,413,467,500,654
  자본총계(비지배),,,13,1,2
자본금,40,54,54,54,57
영업활동현금흐름,46,158,-48,210,59
투자활동현금흐름,-13,-60,-355,-316,-118
재무활동현금흐름,-22,39,332,233,253
CAPEX,30,45,43,81,137
FCF,15,113,-91,129,-78
이자발생부채,131,89,493,781,"1,051"
영업이익률,3.90,5.36,6.41,8.21,6.36
순이익률,3.15,4.15,5.07,3.36,4.61
ROE(%),30.78,24.53,,11.93,14.39
ROA(%),8.98,10.52,,3.83,4.22
부채비율,193.23,97.99,167.21,245.41,232.47
자본유보율,509.22,647.77,750.26,824.40,971.08
EPS(원),813,975,733,530,743
PER(배),,5.88,9.73,14.10,8.02
BPS(원),"3,034","3,796","4,288","4,593","5,723"
PBR(배),0.00,1.51,1.66,1.63,1.04
현금DPS(원),0,200,200,200,200
현금배당수익률,,3.49,2.81,2.68,3.36
현금배당성향(%),0.00,27.06,27.28,37.76,27.54
발행주식수(보통주),"8,000,000","10,884,000","10,884,000","10,884,299","11,433,768"
