주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,52,113,117,158,224
영업이익,22,53,56,101,138
영업이익(발표기준),22,53,56,101,138
세전계속사업이익,22,53,57,99,139
당기순이익,17,41,44,78,101
  당기순이익(지배),17,41,45,77,99
  당기순이익(비지배),0,0,-1,1,2
자산총계,364,434,461,579,980
부채총계,121,152,122,132,336
자본총계,243,282,338,447,644
  자본총계(지배),243,282,321,431,623
  자본총계(비지배),,,17,17,21
자본금,112,112,112,122,196
영업활동현금흐름,-8,34,16,37,-16
투자활동현금흐름,-170,-39,31,-14,-151
재무활동현금흐름,120,-3,-28,20,235
CAPEX,0,1,0,0,2
FCF,,,,,
이자발생부채,87,92,88,48,171
영업이익률,41.74,46.86,47.62,63.73,61.67
순이익률,32.68,36.63,38.00,49.31,45.40
ROE(%),7.54,15.77,,20.55,18.85
ROA(%),5.86,10.37,,14.97,13.02
부채비율,49.71,54.13,36.20,29.43,52.20
자본유보율,117.07,151.21,201.85,267.84,229.26
EPS(원),51,124,135,223,259
PER(배),40.35,12.65,12.72,10.76,10.33
BPS(원),728,843,962,"1,189","1,593"
PBR(배),2.82,1.86,1.78,2.01,1.68
현금DPS(원),10,13,17,17,10
현금배당수익률,0.49,0.86,0.98,0.70,0.37
현금배당성향(%),19.77,10.83,12.45,7.87,3.94
발행주식수(보통주),"33,409,803","33,409,803","33,409,803","36,246,275","39,125,879"
