주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,437,266,324,97,170
영업이익,101,41,30,-30,-24
영업이익(발표기준),101,41,30,-30,-24
세전계속사업이익,83,68,69,-34,-40
당기순이익,68,55,58,-24,-44
  당기순이익(지배),68,55,58,-24,-44
  당기순이익(비지배),,,,,
자산총계,948,"1,135","1,052",994,"1,389"
부채총계,30,180,50,26,462
자본총계,918,955,"1,002",968,927
  자본총계(지배),918,955,"1,002",968,927
  자본총계(비지배),,,,,
자본금,59,59,59,59,166
영업활동현금흐름,51,96,27,2,37
투자활동현금흐름,131,58,-17,0,-733
재무활동현금흐름,-46,-17,-8,-11,375
CAPEX,9,2,75,1,5
FCF,42,94,-47,2,32
이자발생부채,0,0,0,0,284
영업이익률,23.05,15.40,9.24,-31.16,-14.08
순이익률,15.51,20.82,17.75,-25.15,-26.12
ROE(%),7.46,5.93,5.88,-2.47,
ROA(%),7.02,5.33,5.27,-2.38,
부채비율,3.26,18.85,5.00,2.67,49.83
자본유보율,"1,571.36","1,630.52","1,708.95","1,651.70",496.48
EPS(원),204,167,173,-73,-133
PER(배),23.54,23.73,21.43,N/A,N/A
BPS(원),"2,862","2,979","3,124","3,018","2,892"
PBR(배),1.68,1.33,1.19,1.41,2.16
현금DPS(원),71,36,36,0,0
현금배당수익률,1.48,0.90,0.96,0.00,0.00
현금배당성향(%),25.67,19.26,18.56,0.00,0.00
발행주식수(보통주),"33,220,864","33,220,864","33,220,864","33,220,864","33,220,864"
