주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,,,929,640,621
영업이익,,,301,-41,123
영업이익(발표기준),,,301,-41,123
세전계속사업이익,,,302,54,87
당기순이익,,,235,44,67
  당기순이익(지배),,,235,44,67
  당기순이익(비지배),,,,,
자산총계,,,423,654,"1,464"
부채총계,,,213,399,502
자본총계,,,211,255,961
  자본총계(지배),,,211,255,961
  자본총계(비지배),,,,,
자본금,,,4,4,5
영업활동현금흐름,,,342,61,-84
투자활동현금흐름,,,-54,-371,-429
재무활동현금흐름,,,-71,324,536
CAPEX,,,4,127,2
FCF,,,337,-65,-85
이자발생부채,,,0,150,50
영업이익률,,,32.40,-6.45,19.89
순이익률,,,25.24,6.89,10.80
ROE(%),,,,18.96,11.04
ROA(%),,,,8.19,6.34
부채비율,,,100.93,156.79,52.27
자본유보율,,,"5,240.34","6,343.44","19,046.51"
EPS(원),,,"5,865","1,103","1,576"
PER(배),,,,,63.90
BPS(원),,,"5,266","6,370","19,147"
PBR(배),,,0.00,0.00,5.26
현금DPS(원),0,30,15,0,
현금배당수익률,,,,,
현금배당성향(%),,,12.79,0.00,
발행주식수(보통주),"4,000,000","4,000,000","4,000,000","4,000,000","5,020,191"
