주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,364,375,463,565,614
영업이익,38,43,63,91,92
영업이익(발표기준),38,43,63,91,92
세전계속사업이익,38,39,59,90,94
당기순이익,33,33,49,74,77
  당기순이익(지배),33,33,49,74,77
  당기순이익(비지배),,,,,
자산총계,288,288,368,453,832
부채총계,108,77,109,114,142
자본총계,180,211,259,338,690
  자본총계(지배),180,211,259,338,690
  자본총계(비지배),,,,,
자본금,15,15,15,15,20
영업활동현금흐름,20,58,77,71,93
투자활동현금흐름,-15,-12,-30,-1,-411
재무활동현금흐름,-22,-5,-5,-7,271
CAPEX,10,8,14,6,23
FCF,10,50,63,64,70
이자발생부채,15,11,7,4,1
영업이익률,10.38,11.33,13.68,16.14,14.95
순이익률,9.08,8.84,10.50,13.02,12.53
ROE(%),20.14,16.95,20.69,24.66,14.97
ROA(%),12.43,11.51,14.82,17.94,11.98
부채비율,60.04,36.38,42.23,33.86,20.66
자본유보율,"1,083.70","1,292.20","1,602.54","2,126.82","3,297.15"
EPS(원),"1,088","1,092","1,602","2,424","2,308"
PER(배),4.12,33.07,8.78,12.38,8.30
BPS(원),"5,928","6,964","8,518","11,134","16,986"
PBR(배),0.76,5.19,1.65,2.69,1.13
현금DPS(원),50,50,100,100,150
현금배당수익률,1.11,0.14,0.71,0.33,0.78
현금배당성향(%),4.59,4.58,6.24,4.13,7.91
발행주식수(보통주),"3,036,420","3,036,420","3,036,420","3,036,420","4,059,420"
