주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,111",796,871,"1,208","1,273","1,561","1,795"
영업이익,3,-170,-82,109,108,160,219
영업이익(발표기준),3,-170,-82,109,108,,
세전계속사업이익,39,-195,-33,140,61,172,230
당기순이익,33,-154,-83,144,44,151,188
  당기순이익(지배),37,-140,-78,144,44,151,188
  당기순이익(비지배),-4,-14,-6,,,,
자산총계,"1,671","1,618","1,467","1,281","1,229","1,491","1,643"
부채총계,631,728,672,330,239,412,400
자본총계,"1,040",890,795,952,990,"1,079","1,243"
  자본총계(지배),"1,026",889,795,952,990,"1,079","1,243"
  자본총계(비지배),14,,,,,,
자본금,66,66,66,66,66,66,66
영업활동현금흐름,45,-81,42,138,79,35,101
투자활동현금흐름,-71,-30,28,316,38,-41,-56
재무활동현금흐름,54,79,-76,-398,-110,79,-57
CAPEX,53,15,2,0,2,30,47
FCF,-8,-96,40,138,77,-11,41
이자발생부채,500,593,551,198,117,,
영업이익률,0.23,-21.33,-9.46,9.02,8.52,10.25,12.20
순이익률,3.01,-19.30,-9.55,11.88,3.42,9.67,10.47
ROE(%),3.62,-14.59,-9.21,16.44,4.49,14.60,16.19
ROA(%),2.04,-9.34,-5.39,10.45,3.47,11.10,12.00
부채비율,60.67,81.73,84.52,34.65,24.10,38.18,32.18
자본유보율,"1,552.58","1,330.49","1,216.46","1,440.98","1,477.04",,
EPS(원),278,"-1,053",-584,"1,082",328,"1,138","1,416"
PER(배),32.61,N/A,N/A,8.31,32.76,7.72,6.20
BPS(원),"8,500","7,367","6,586","7,882","8,181","8,915","10,270"
PBR(배),1.07,0.87,0.82,1.14,1.31,0.98,0.85
현금DPS(원),100,0,0,200,150,200,200
현금배당수익률,1.10,0.00,0.00,2.22,1.40,2.28,2.28
현금배당성향(%),32.66,0.00,0.00,16.81,41.68,17.58,14.12
발행주식수(보통주),"13,273,577","13,273,577","13,273,577","13,273,577","13,273,577",,
