주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,248,211,154,155,146
영업이익,5,-15,-33,4,-14
영업이익(발표기준),5,-15,-33,4,-14
세전계속사업이익,1,-7,-28,7,-6
당기순이익,5,-6,-34,7,-6
  당기순이익(지배),5,-6,-34,7,-6
  당기순이익(비지배),,,,,
자산총계,526,514,488,513,495
부채총계,39,40,32,50,41
자본총계,487,474,456,463,455
  자본총계(지배),487,474,456,463,455
  자본총계(비지배),,,,,
자본금,45,45,45,45,45
영업활동현금흐름,13,2,-2,2,2
투자활동현금흐름,-8,7,4,64,44
재무활동현금흐름,-5,-8,0,7,-1
CAPEX,4,4,2,0,2
FCF,9,-2,-4,2,0
이자발생부채,3,0,0,7,7
영업이익률,2.18,-7.12,-21.47,2.88,-9.76
순이익률,2.19,-2.81,-21.90,4.42,-4.29
ROE(%),1.11,-1.23,-7.24,1.49,-1.37
ROA(%),1.03,-1.14,-6.72,1.37,-1.24
부채비율,8.00,8.35,7.03,10.87,9.02
자본유보율,994.42,971.39,926.28,941.45,927.15
EPS(원),60,-66,-374,76,-70
PER(배),53.49,N/A,N/A,32.64,N/A
BPS(원),"5,473","5,330","5,123","5,199","5,102"
PBR(배),0.59,0.48,0.54,0.48,0.61
현금DPS(원),50,,,,
현금배당수익률,1.56,,,,
현금배당성향(%),82.23,0.00,0.00,0.00,
발행주식수(보통주),"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000"
