주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,120,66,1,69,87
영업이익,-16,-33,-12,2,6
영업이익(발표기준),-16,-33,-12,2,6
세전계속사업이익,-51,-2,-16,6,11
당기순이익,-54,-25,-28,2,11
  당기순이익(지배),-54,-25,-28,2,11
  당기순이익(비지배),,,,,
자산총계,69,96,49,139,111
부채총계,48,35,6,80,41
자본총계,21,61,42,59,70
  자본총계(지배),21,61,42,59,70
  자본총계(비지배),,,,,
자본금,13,23,23,46,46
영업활동현금흐름,-18,-48,-35,-6,-1
투자활동현금흐름,-5,-37,36,59,23
재무활동현금흐름,41,68,5,-36,-24
CAPEX,15,22,2,0,1
FCF,-33,-70,-37,-7,-2
이자발생부채,1,2,3,38,29
영업이익률,-13.10,-49.60,-952.26,3.26,6.57
순이익률,-45.20,-37.26,"-2,292.38",3.62,12.68
ROE(%),-200.24,-59.84,-53.79,4.90,17.06
ROA(%),-78.20,-29.82,-38.45,2.65,8.82
부채비율,227.69,57.14,15.10,135.55,58.04
자본유보율,65.81,174.88,55.82,33.58,57.85
EPS(원),-505,-128,-120,6,24
PER(배),N/A,N/A,N/A,160.21,41.40
BPS(원),166,270,188,129,154
PBR(배),19.43,11.94,17.15,7.65,6.43
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,627,130","22,661,761","22,661,761","45,661,760","45,661,760"
