주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,182,169,236,264,384
영업이익,25,29,115,139,222
영업이익(발표기준),25,29,115,139,222
세전계속사업이익,25,26,114,139,222
당기순이익,25,26,114,139,222
  당기순이익(지배),27,26,114,139,222
  당기순이익(비지배),-1,0,0,0,0
자산총계,890,989,"1,107","1,221","1,437"
부채총계,38,157,162,131,116
자본총계,853,833,945,"1,090","1,320"
  자본총계(지배),853,833,945,"1,090","1,320"
  자본총계(비지배),0,,,,
자본금,835,835,835,835,835
영업활동현금흐름,-6,-107,39,69,27
투자활동현금흐름,0,3,1,0,-1
재무활동현금흐름,-7,114,-37,-33,-7
CAPEX,0,0,0,0,0
FCF,,,,,
이자발생부채,12,126,96,70,70
영업이익률,13.87,17.08,48.60,52.62,57.93
순이익률,13.97,15.55,48.49,52.69,57.93
ROE(%),3.17,3.11,12.85,13.67,18.45
ROA(%),2.87,2.79,10.90,11.95,16.74
부채비율,4.45,18.84,17.12,12.01,8.82
자본유보율,3.37,0.98,14.49,31.80,59.36
EPS(원),17,16,70,86,137
PER(배),64.83,42.22,10.19,14.97,12.10
BPS(원),529,517,587,676,819
PBR(배),2.03,1.32,1.22,1.90,2.03
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"162,066,575","162,066,575","162,066,575","162,066,575","162,066,575"
